Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample
XP_005251033.1,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,80178.53333333334
XP_016873759.1,28113.70740740741,17305.181481481482,31427.98888888888,28113.70740740741,17091.14814814815,27558.16666666667,29596.79259259259,19029.055555555555,33355.5,25280.94444444444,16501.866666666665,29596.79259259259,25280.94444444444,16050.625925925924,29596.79259259259,25280.94444444444,15748.6,28113.70740740741,26756.714814814815,17091.14814814815,29596.79259259259,20302.09259259259,13846.91111111111,24248.185185185186,22736.351851851847,15047.896296296296,27558.16666666667
NP_001104026.1,31427.98888888888,35542.33333333333,35542.33333333333,33355.5,35542.33333333333,35542.33333333333,42465.04074074075,42465.04074074075,35542.33333333333,32517.937037037038,34595.76666666667,35542.33333333333,42465.04074074075,37607.014814814815,37607.014814814815,44601.13703703704,44601.13703703704,42465.04074074075,37607.014814814815,37607.014814814815,37607.014814814815,35542.33333333333,31427.98888888888,32517.937037037038,34595.76666666667,30650.218518518515,31427.98888888888
NP_006280.3,20876.38148148148,17959.62222222222,19365.277777777774,21062.459259259256,18419.466666666664,20302.09259259259,23792.018518518522,23792.018518518522,25280.94444444444,21760.211111111115,19983.77407407407,20876.38148148148,23792.018518518522,24771.4074074074,25936.725925925926,23214.166666666668,21062.459259259256,24248.185185185186,20876.38148148148,23792.018518518522,24248.185185185186,25936.725925925926,24771.4074074074,25936.725925925926,25280.94444444444,27558.16666666667,28751.551851851844
NP_003371.2,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,42465.04074074075,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,44601.13703703704,67286.18148148149,67286.18148148149,44601.13703703704,80178.53333333334,67286.18148148149,50870.4
NP_733821.1,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,34595.76666666667,50870.4,50870.4,39181.1962962963,50870.4,44601.13703703704,33355.5,50870.4,44601.13703703704,34595.76666666667,50870.4,50870.4,35542.33333333333
NP_005091.2,11354.237037037035,25936.725925925926,12782.418518518518,10919.125925925924,24248.185185185186,12274.696296296293,10402.129629629628,22165.59259259259,10048.503703703704,11147.651851851853,25280.94444444444,11891.129629629628,10048.503703703704,22736.351851851847,10141.485185185184,15225.14074074074,35542.33333333333,16501.866666666665,22165.59259259259,50870.4,21760.211111111115,20582.581481481488,50870.4,21350.111111111117,20582.581481481488,42465.04074074075,17091.14814814815
NP_006608.1,44601.13703703704,24771.4074074074,16715.466666666664,44601.13703703704,25936.725925925926,16715.466666666664,35542.33333333333,28113.70740740741,19029.055555555555,44601.13703703704,25936.725925925926,16501.866666666665,37607.014814814815,25280.94444444444,17959.62222222222,42465.04074074075,28751.551851851844,17657.90740740741,35542.33333333333,25280.94444444444,17495.17037037037,42465.04074074075,26756.714814814815,17959.62222222222,42465.04074074075,29596.79259259259,21062.459259259256
NP_006588.1,30650.218518518515,42465.04074074075,44601.13703703704,32517.937037037038,42465.04074074075,44601.13703703704,37607.014814814815,44601.13703703704,67286.18148148149,30650.218518518515,44601.13703703704,50870.4,33355.5,44601.13703703704,67286.18148148149,31427.98888888888,42465.04074074075,80178.53333333334,39181.1962962963,42465.04074074075,80178.53333333334,37607.014814814815,42465.04074074075,80178.53333333334,37607.014814814815,44601.13703703704,67286.18148148149
NP_008835.5,11284.896296296294,15225.14074074074,8231.518518518518,11891.129629629628,16267.788888888888,9065.022222222224,19983.77407407407,25936.725925925926,15047.896296296296,12448.87777777778,17091.14814814815,9895.422222222223,22736.351851851847,31427.98888888888,18645.27037037037,15532.4,22736.351851851847,11284.896296296294,15047.896296296296,19983.77407407407,13211.859259259258,16906.51111111111,23214.166666666668,14405.851851851852,19983.77407407407,25280.94444444444,16715.466666666664
