Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
XP_005251033.1,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,80178.53333333334,63309.91851851853,1.0,0.0,63309.91851851853,1.0,0.0,64021.950617283954,0.9648593194386241,0.015536004008938188,1.0,0.0,,1.0,0.0,,1.0112467701021783,0.01613509472940718,
XP_016873759.1,28113.70740740741,17305.181481481482,31427.98888888888,28113.70740740741,17091.14814814815,27558.16666666667,29596.79259259259,19029.055555555555,33355.5,25280.94444444444,16501.866666666665,29596.79259259259,25280.94444444444,16050.625925925924,29596.79259259259,25280.94444444444,15748.6,28113.70740740741,26756.71481481481,17091.14814814815,29596.79259259259,20302.09259259259,13846.91111111111,24248.185185185182,22736.351851851847,15047.896296296296,27558.16666666667,24254.340740740747,0.8193131941034307,0.08655005126757262,27327.116049382716,0.7912154741953665,0.10170522761418534,23793.2012345679,0.7671642489129933,0.11511164418669334,0.9468572351453882,-0.07878117888168651,,1.066814300318329,0.09330906901540598,,0.9288549615524513,-0.10647475402196746,
NP_001104026.1,31427.98888888888,35542.33333333333,35542.33333333333,33355.5,35542.33333333333,35542.33333333333,42465.04074074075,42465.04074074075,35542.33333333333,32517.93703703704,34595.76666666667,35542.33333333333,42465.04074074075,37607.014814814815,37607.014814814815,44601.13703703704,44601.13703703704,42465.04074074075,37607.014814814815,37607.014814814815,37607.014814814815,35542.33333333333,31427.98888888888,32517.93703703704,34595.76666666667,30650.218518518515,31427.98888888888,34813.38888888888,0.7065081050121378,0.15088285159057227,40157.47160493828,0.10495662763256328,0.9789901320852028,34218.67901234568,0.9783179532920558,0.009519976583621942,1.0188026649067394,0.026874638421947032,,1.175195532316751,0.2329008163942373,,1.0013986710294887,0.002016445914335039,
NP_006280.3,20876.38148148148,17959.62222222222,19365.277777777774,21062.459259259256,18419.466666666664,20302.09259259259,23792.01851851852,23792.01851851852,25280.94444444444,21760.211111111115,19983.77407407407,20876.38148148148,23792.01851851852,24771.4074074074,25936.725925925926,23214.166666666668,21062.459259259256,24248.185185185182,20876.38148148148,23792.01851851852,24248.185185185182,25936.725925925926,24771.4074074074,25936.725925925926,25280.94444444444,27558.16666666667,28751.551851851844,19928.006172839505,0.6707748474052107,0.17342323085713587,24288.327160493824,0.012779862255578641,1.8934738270825087,20873.455555555556,0.22388901882955106,0.6499672069063824,1.0271941956731767,0.03870895541438161,,1.251948060708349,0.32417471074271514,,1.0759276268958318,0.10558103716025624,
NP_003371.2,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,42465.04074074075,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,44601.13703703704,67286.18148148149,67286.18148148149,44601.13703703704,80178.53333333334,67286.18148148149,50870.4,71583.63209876545,1.0,0.0,75881.0827160494,0.5185185185185187,0.28523572848074913,71583.63209876545,1.0,0.0,1.0,0.0,,1.060033983905073,0.08411051726526989,,1.0,0.0,
NP_733821.1,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,34595.76666666667,50870.4,50870.4,39181.1962962963,50870.4,44601.13703703704,33355.5,50870.4,44601.13703703704,34595.76666666667,50870.4,50870.4,35542.33333333333,46973.9987654321,0.933393326562175,0.029935308494341988,46449.27160493828,1.0,0.0,46973.9987654321,0.933393326562175,0.029935308494341988,1.0112967790960588,0.016206438288377194,,1.0,0.0,,1.0112967790960588,0.016206438288377194,
NP_005091.2,11354.237037037035,25936.725925925926,12782.418518518518,10919.125925925924,24248.185185185182,12274.696296296292,10402.129629629628,22165.59259259259,10048.503703703704,11147.651851851851,25280.94444444444,11891.129629629628,10048.503703703704,22736.351851851847,10141.485185185184,15225.14074074074,35542.33333333333,16501.866666666665,22165.59259259259,50870.4,21760.211111111115,20582.581481481488,50870.4,21350.11111111112,20582.581481481488,42465.04074074075,17091.14814814815,15814.0024691358,0.8957757628308306,0.04780069251784227,14205.408641975308,0.7056388494826425,0.15141751680555307,16106.575308641974,0.9329642327982614,0.030135005552642116,0.9474496429795293,-0.07787882891692553,,0.8510754549637631,-0.23264105031304547,,0.9649782877914065,-0.05143161307458339,
NP_006608.1,44601.13703703704,24771.4074074074,16715.466666666664,44601.13703703704,25936.725925925926,16715.466666666664,35542.33333333333,28113.70740740741,19029.055555555555,44601.13703703704,25936.725925925926,16501.866666666665,37607.014814814815,25280.94444444444,17959.62222222222,42465.04074074075,28751.551851851844,17657.90740740741,35542.33333333333,25280.94444444444,17495.17037037037,42465.04074074075,26756.71481481481,17959.62222222222,42465.04074074075,29596.79259259259,21062.459259259256,29084.443209876543,0.9750181369285782,0.010987305640192046,27561.6987654321,0.9126473545056271,0.03969700075409943,29013.243209876546,0.9796617049668764,0.008923868215913325,1.0135363624211795,0.019397848986018842,,0.9604716757781433,-0.058185025314030005,,1.0110551806951398,0.015861737837139577,
NP_006588.1,30650.218518518515,42465.04074074075,44601.13703703704,32517.93703703704,42465.04074074075,44601.13703703704,37607.014814814815,44601.13703703704,67286.18148148149,30650.218518518515,44601.13703703704,50870.4,33355.5,44601.13703703704,67286.18148148149,31427.98888888888,42465.04074074075,80178.53333333334,39181.1962962963,42465.04074074075,80178.53333333334,37607.014814814815,42465.04074074075,80178.53333333334,37607.014814814815,44601.13703703704,67286.18148148149,39861.37160493828,0.91864054664864,0.03685438975072745,49831.444444444445,0.36796677508907943,0.4341913934104316,42040.585185185184,0.7254104987626615,0.13941616322801947,1.0158662563354166,0.02271047689101302,,1.2699533628013113,0.34477551708350884,,1.071403470745933,0.09950187469999722,
NP_008835.5,11284.896296296294,15225.14074074074,8231.518518518518,11891.129629629628,16267.788888888888,9065.022222222224,19983.77407407407,25936.725925925926,15047.896296296296,12448.87777777778,17091.14814814815,9895.422222222223,22736.351851851847,31427.98888888888,18645.27037037037,15532.4,22736.351851851847,11284.896296296294,15047.896296296296,19983.77407407407,13211.859259259258,16906.51111111111,23214.166666666668,14405.851851851852,19983.77407407407,25280.94444444444,16715.466666666664,12407.980246913581,0.7905064715412895,0.10209457033244641,20322.7987654321,0.09102540574973302,1.040837376503029,13145.14938271605,0.6206708544358698,0.20713864780754898,1.071452908353962,0.0995684432228763,,1.7549126779542485,0.81139924579104,up-regulated,1.1351088780433722,0.1828306854277786,
