Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R1 127C Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R1 128N Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
NP_008835.5,11414.0,19681.0,10169.1,11549.2,19889.7,10528.4,10957.3,18174.7,11998.4,12807.2,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,11284.896296296294,15225.14074074074,8231.518518518518,11891.129629629628,16267.788888888888,9065.022222222224,19983.77407407407,25936.725925925926,15047.896296296296,12448.87777777778,17091.14814814815,9895.422222222223,22736.351851851847,31427.98888888888,18645.27037037037,15532.4,22736.351851851847,11284.896296296294,15047.896296296296,19983.77407407407,13211.859259259258,16906.51111111111,23214.166666666668,14405.851851851852,19983.77407407407,25280.94444444444,16715.466666666664,12407.980246913581,0.7905064715412895,0.10209457033244641,20322.7987654321,0.09102540574973302,1.040837376503029,13145.14938271605,0.6206708544358698,0.20713864780754898,1.071452908353962,0.0995684432228763,,1.7549126779542485,0.81139924579104,up-regulated,1.1351088780433722,0.1828306854277786,
NP_004095.4,7384.0,5818.4,9925.7,7838.2,5792.7,10344.6,7646.8,5278.8,9083.6,8575.6,6471.6,10770.4,12235.0,9025.2,15611.6,10066.2,7386.1,10624.5,7362.8,5251.0,9703.2,7747.6,5635.7,9242.9,6068.6,4088.9,7520.8,7590.218518518518,4433.577777777778,8122.807407407409,8446.27777777778,4716.077777777777,8741.981481481482,12597.355555555558,7211.133333333333,11535.962962962964,8705.296296296296,4952.555555555556,8869.937037037036,13979.385185185189,8009.399999999999,13009.448148148149,10191.1,5770.84074074074,8546.207407407408,9493.38148148148,5604.099999999999,9363.34814814815,9825.877777777776,5687.492592592591,9138.94074074074,9951.76296296296,5604.099999999999,8638.14074074074,7301.445679012347,0.7525368051993667,0.12347225466554412,10448.15061728395,0.14522498524275634,0.8379586589831836,7509.262962962962,0.6688711957738116,0.17465750607433594,1.0872471290538264,0.120679899277699,,1.5558181573844905,0.6376734492892384,up-regulated,1.1181928835353736,0.16116906842993275,
NP_001367.2,7285.8,7535.1,9814.2,7055.8,7273.6,10177.7,6425.4,5764.2,9439.1,8075.6,8408.8,11533.4,9721.3,9067.9,15158.7,9095.8,9364.5,13868.5,7709.2,7013.1,11666.5,8256.0,8155.6,12768.6,7398.1,6209.7,11901.2,7424.548148148148,5799.151851851852,8049.97777777778,7694.411111111109,5916.174074074074,8446.27777777778,10859.388888888889,7763.337037037038,12005.422222222223,8384.655555555555,6545.074074074074,9825.877777777776,10919.125925925924,8049.97777777778,12691.822222222225,9446.362962962963,7447.74074074074,10859.388888888889,10092.37037037037,7310.07037037037,11786.6,10582.070370370371,8122.807407407409,13286.466666666667,12370.644444444442,8506.751851851852,13396.937037037038,7352.287654320989,0.8082643351489458,0.09244658412330309,10209.382716049384,0.11672512163203501,0.932835664845483,8251.869135802468,0.3803910307400859,0.41976973186609273,1.0368147526425022,0.05215815131815887,,1.4397204126191068,0.5257886738268378,up-regulated,1.1636731394543731,0.21868588100430258,
NP_004492.2,1045.9,3848.4,2445.9,763.5,2761.1,1990.7,324.6,1362.6,806.0,979.6,3673.4,2477.8,665.5,2491.9,1732.9,628.9,2504.4,1713.4,476.9,1850.8,1222.3,416.5,1603.2,1008.4,215.8,862.0,574.7,964.6000000000004,3036.2481481481486,2063.6074074074068,733.9074074074073,2339.22962962963,1704.1148148148147,457.73703703703694,1834.6444444444448,1000.651851851852,913.7370370370372,2894.7000000000003,2107.7666666666664,635.9703703703706,2211.840740740741,1459.148148148148,592.0333333333334,2047.8185185185189,1456.662962962963,553.4740740740742,2001.177777777778,1225.4444444444443,469.7962962962963,1643.1407407407405,1076.6703703703704,323.6666666666666,1152.5777777777778,726.7370370370371,1592.4172839506173,0.6037153272763038,0.21916779802921457,1097.677777777778,0.27801119176073547,0.5559377205492075,1972.0679012345681,0.955408905175857,0.019810715061550212,0.7877462054240769,-0.3441971950943115,,0.5430056009424681,-0.8809610158075429,down-regulated,0.9755539717467233,-0.035706403890679465,
NP_001275582.1,3780.4,9501.4,10818.5,3925.1,9600.5,11156.6,3637.8,8210.5,10222.9,4316.1,10639.4,12389.2,6043.3,13925.5,17177.5,6074.5,13403.8,16389.6,4416.7,10518.9,13275.2,5227.8,12001.9,14277.4,4298.8,9802.3,12272.7,3760.459259259259,7266.8,8772.72222222222,3981.4851851851854,7619.992592592595,9493.38148148148,6366.637037037038,11063.4,13009.448148148149,4197.762962962964,8122.807407407409,10531.31851851852,7028.177777777777,12448.87777777778,14535.344444444445,6568.314814814814,10280.040740740742,13505.418518518518,6106.618518518518,10859.388888888889,13106.362962962963,6873.329629629629,11891.129629629628,14658.714814814814,7399.859259259258,12914.61851851852,13979.385185185189,7031.61975308642,0.8538372682567299,0.06862489304927398,10146.495061728396,0.22929520983605312,0.6396050179412317,7617.2962962962965,0.6906765857251619,0.16072526654013916,1.0653979287298248,0.0913923812302895,,1.537349174475472,0.6204448781528257,up-regulated,1.1541368819087934,0.20681433935595672,
NP_006420.1,4377.0,9693.8,8917.6,4353.9,9199.3,8729.1,3733.2,7964.7,7429.9,4497.0,9860.3,9063.4,5348.1,11593.0,11008.3,4798.0,11448.2,9811.8,4488.9,9215.9,9377.7,4066.0,8619.7,7616.2,3836.8,8114.3,7566.2,4238.966666666667,7424.548148148148,7068.866666666668,4389.5370370370365,7424.548148148148,7154.296296296296,6568.314814814814,10859.388888888889,9363.34814814815,4433.577777777778,7619.992592592595,7399.859259259258,6106.618518518518,10141.485185185184,9298.93703703704,4938.355555555556,9097.885185185189,7840.296296296296,6267.996296296296,9715.225925925928,8915.562962962962,5184.025925925927,8705.296296296296,7266.8,6668.092592592591,10919.125925925924,8676.411111111112,6322.7938271604935,0.9578474451700432,0.018703654801017083,8930.35061728395,0.17424004000271323,0.7588520378812547,6484.476543209877,0.8754736981681663,0.057756896881522066,1.0125985049062396,0.018062259234007533,,1.4301999923681372,0.5162169007264584,up-regulated,1.0384920704749134,0.05449020036147811,
NP_001091.1,3266.3,612.9,109.5,2902.5,518.4,96.0,2806.1,536.6,90.3,2965.9,546.9,97.4,4276.6,808.7,118.0,2748.3,512.2,75.1,3903.0,721.7,106.8,2519.6,480.7,89.6,2526.9,475.0,80.1,3189.0999999999995,481.237037037037,116.94074074074072,2955.05925925926,415.8111111111111,111.66296296296296,4692.474074074074,689.1407407407409,134.91481481481486,2927.933333333334,424.66296296296287,115.98888888888888,4807.503703703704,701.4851851851853,129.3481481481481,2723.58888888889,377.8481481481481,98.56666666666668,5232.37037037037,765.0814814814813,139.64814814814815,3079.6703703703706,458.6703703703704,125.60370370370372,4230.103703703704,607.5555555555555,125.60370370370372,1160.8444444444447,0.9425236720302093,0.02570773342668707,1838.8432098765434,0.7582216696032154,0.12020380780905736,1156.1950617283953,0.9395651905854681,0.027073081524792077,0.9195346995056551,-0.12102407777035344,,1.4565949352852876,0.5425997338859796,up-regulated,0.9158518040417971,-0.1268139232800922,
NP_005312.1,21343.9,26155.4,44514.9,19020.1,24513.3,42812.7,6610.8,9324.0,14171.0,21851.0,26327.4,38455.2,10068.2,14169.7,22817.0,14132.8,19575.3,30288.3,10103.1,13803.2,21112.0,8710.9,11799.2,18945.4,4956.9,7181.6,11245.6,22165.59259259259,20582.581481481488,34595.76666666667,22165.59259259259,20302.09259259259,33355.5,11443.370370370372,12597.355555555558,18645.27037037037,23214.166666666668,20582.581481481488,28113.70740740741,11443.370370370372,12691.822222222225,19687.366666666665,14238.985185185187,15047.896296296296,23214.166666666668,13211.859259259258,14134.866666666669,20582.581481481488,11214.114814814817,11612.370370370372,18178.16296296296,8093.292592592596,9715.225925925928,13009.448148148149,25274.395061728395,0.9369719962281546,0.028273388904460153,14228.665432098767,0.10365187898165297,0.9844228206905544,23970.151851851853,0.7392228912107344,0.13122459296141176,0.9803377544382801,-0.02864921024816878,,0.5518983890332284,-0.857525420514058,down-regulated,0.9297490516626455,-0.105086723587928,
NP_005310.1,6005.3,12467.9,19903.2,5663.2,11806.4,18280.4,2481.0,4598.4,4968.4,5706.9,12010.8,20764.4,3680.5,7166.9,7253.6,4547.2,8642.4,12196.3,3073.7,5992.0,8816.8,2638.1,4873.5,6488.4,1759.2,3086.4,3708.4,6017.962962962963,9363.34814814815,16267.788888888888,5975.988888888887,9446.362962962963,16050.625925925924,4001.466666666666,6205.222222222223,6081.322222222224,5799.151851851852,9138.94074074074,16715.466666666664,3990.577777777778,6419.066666666667,5938.596296296297,4565.111111111111,6715.548148148147,9667.033333333333,3856.266666666667,6366.637037037038,8273.57037037037,3278.22962962963,4861.762962962962,6366.637037037038,2774.644444444444,4257.5888888888885,4289.992592592593,10490.99259259259,0.9895755140889553,0.004551059364803047,5429.337037037037,0.22792207181629934,0.6422136160049046,10551.186419753085,0.9997478462301425,0.00010952279971402578,0.9944351585914851,-0.008050790623972643,,0.5146437374557605,-0.9583540238841413,down-regulated,1.0001408968741372,0.00020325690279961132,
XP_005270945.1,8032.3,28967.9,8227.4,6678.0,23632.4,7812.2,3167.2,10817.7,4442.9,7370.7,26829.9,7902.2,5019.9,16510.7,6294.9,4965.1,17224.7,6428.3,3863.1,13128.5,4791.1,3725.5,12054.2,4379.4,2238.9,7212.0,3294.5,8346.277777777777,21760.211111111115,6439.148148148148,7310.07037037037,18645.27037037037,6366.637037037038,5623.707407407408,14535.344444444445,5502.2962962962965,7801.118518518519,21350.11111111112,6267.996296296296,5671.3,14535.344444444445,5232.37037037037,5156.37037037037,13505.418518518518,5349.488888888888,5087.918518518518,13106.362962962963,4822.444444444444,4656.629629629631,12005.422222222223,4453.929629629629,3596.922222222222,9895.422222222223,3789.5592592592593,10773.992592592593,0.8326802733297958,0.07952172390360439,8553.782716049382,0.5636624401208145,0.24898090360759126,11806.408641975313,0.9585988332623013,0.018363103935982155,0.8844278113149646,-0.17718370268740177,,0.7021726867735743,-0.5101022157616729,down-regulated,0.9691779593287827,-0.045166498939032455,
