Accession,Abundance R1 127N Sample,Abundance R1 127C Sample,Abundance R1 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R3 127N Sample,Abundance R2 127N Sample,Abundance R3 127C Sample,Abundance R2 127C Sample,Abundance R3 128N Sample,Abundance R2 128N Sample,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_005251033.1,67453.5,41878.7,78459.0,74054.7,124349.4,57905.7,74504.09999999999,74504.09999999999,74504.09999999999,74504.09999999999,84261.21666666667,40555.666666666664,113976.1,54892.9,72004.0,39250.7,131329.0,61290.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,bla1
XP_016873759.1,24332.9,15718.3,24418.8,25771.4,22486.2,42002.5,28431.766666666674,30566.05,25538.333333333332,28431.766666666674,17210.8,32158.433333333334,21067.5,37934.7,14167.7,28127.6,21835.2,39450.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,bla3
NP_001104026.1,31264.1,22106.3,33688.6,32481.8,42074.6,48838.3,33941.98333333333,40555.666666666664,32991.666666666664,32158.433333333334,35990.333333333336,35990.333333333336,39870.3,45191.5,28072.4,32174.6,43499.4,46530.0,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,bla4
NP_006280.3,18193.2,12457.9,20672.8,19352.6,24082.6,25566.0,20655.25,23713.75,21550.899999999998,20534.633333333335,17863.2,19331.0,23118.1,25173.6,17340.7,20406.0,25912.9,27516.3,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,bla5
NP_003371.2,75966.0,47818.9,78924.3,84439.1,110019.1,75159.6,84261.21666666667,84261.21666666667,84261.21666666667,84261.21666666667,74504.09999999999,74504.09999999999,98001.9,65937.9,60445.9,42664.1,103808.0,76800.7,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,bla6
NP_733821.1,52302.1,32198.3,52502.7,56570.4,66445.9,54005.2,54817.79999999999,54817.79999999999,54817.79999999999,54817.79999999999,54817.79999999999,38771.26666666666,62699.7,50799.0,38208.2,33367.3,68047.3,55194.3,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,bla7
NP_005091.2,10290.7,6238.1,11015.1,11595.0,33603.8,14992.3,10978.066666666666,10450.4,11198.933333333334,11426.9,26311.283333333336,13249.366666666669,30566.1,14268.7,16728.7,8023.4,33196.3,14327.0,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,bla8
NP_006608.1,35084.1,19284.2,36987.7,39044.2,32999.6,21444.2,43017.56666666667,35990.333333333336,43017.56666666667,43017.56666666667,24671.733333333334,17007.233333333334,31848.4,20728.0,19396.5,14526.3,33676.9,20717.9,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,bla9
NP_006588.1,30377.5,19612.3,32720.6,32383.6,54593.5,65676.1,32991.666666666664,38771.26666666666,31961.68333333333,31961.68333333333,40555.666666666664,43017.56666666667,49172.1,59524.1,31493.8,41204.4,55504.1,67534.6,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,bla10
NP_008835.5,11549.2,10957.3,12807.2,11414.0,19681.0,10169.1,12126.016666666668,19797.65,12810.833333333334,11357.583333333334,15252.65,8253.449999999999,19889.7,10528.4,18174.7,11998.4,22368.7,11691.9,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11
