Accession,Abundance R1 127N Sample,Abundance R1 127C Sample,Abundance R1 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control
XP_005251039.1,206.6,192.3,241.6,214.1,,
NP_001186883.1,,,,,377.8,334.8
NP_842565.2,564.7,340.0,613.5,594.1,,
XP_024309291.1,,,,,419.8,
NP_001060.1,,,,,135.0,1175.2
NP_001287789.1,,,,,,
NP_068814.2,,,,,,90.7
XP_011529449.1,128.6,86.9,123.4,139.0,,
NP_001153149.1,,,,,251.8,435.4
NP_938149.2,,,,,608.0,
NP_001017992.1,,,,,,27.7
NP_001156008.1,,,,,507.1,788.9
NP_001274522.1,,,,,4615.7,3436.8
NP_001949.1,,,,,,50.1
NP_001278464.1,,,,,,117.8
XP_024303167.1,,,,,386.0,
NP_001351860.1,,,,,,
NP_001269468.1,,,,,888.4,1226.0
NP_001306007.1,,,,,,864.8
NP_002146.2,,,,,,
NP_003267.1,,,,,752.3,288.4
NP_443069.1,,,,,,
NP_114127.3,186.5,152.5,175.2,205.7,,
NP_001229687.1,,,,,,233.5
NP_001958.2,491.4,350.9,506.6,487.3,,
NP_001005751.1,,,,,,
NP_001350867.1,,,,,,
NP_002700.1,,,,,,856.3
XP_024303864.1,,,,,,
NP_444295.1,,,,,,
NP_001350643.1,,,,,5370.7,124.2
NP_778235.1,,,,,90.4,
NP_001030168.1,,,,,5676.1,25160.2
NP_001198.2,,,,,,3819.6
NP_006640.2,,,,,903.1,2625.0
NP_001171889.1,,,,,2304.4,
NP_001008273.1,,,,,1978.2,1889.8
NP_005886.2,,,,,554.8,1213.5
NP_056988.3,,,,,1647.9,4364.1
NP_001131024.1,,,,,4082.4,3498.8
NP_001008709.1,,,,,,
NP_036590.1,,,,,349.6,1067.8
NP_003090.2,,,,,925.5,4972.6
NP_001243239.1,,,,,697.4,1938.0
NP_001120676.1,,,,,523.3,3060.6
NP_001027553.1,,,,,2388.1,2088.3
NP_001118.3,,,,,,2243.0
NP_065750.1,,,,,1342.2,1385.3
NP_004975.2,527.9,336.8,556.8,566.9,,
NP_001027565.1,341.7,284.0,313.5,358.3,,
XP_011528302.1,200.4,54.5,211.2,239.0,,
NP_001352054.1,,,,,345.8,1741.3
NP_001120665.1,,,,,44.1,
NP_001227.1,,,,,793.5,458.8
NP_958815.1,,,,,835.6,
