Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_005251033.1,41878.7,39250.7,72004.0,67453.5,54892.9,113976.1,78459.0,61290.1,131329.0,74054.7,124349.4,57905.7,68533.57127929595,60374.47394288105,76530.73249474267,68533.57127929595,60374.47394288105,76530.73249474267,68533.57127929595,62179.67441300745,76530.73249474267,68533.57127929595,91719.71446340196,46105.82634721427,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,bla1
XP_016873759.1,15718.3,28127.6,14167.7,24332.9,37934.7,21067.5,24418.8,39450.1,21835.2,25771.4,22486.2,42002.5,32797.22679278115,31537.557783977016,25339.968687140044,28075.39201987976,27534.38125965239,24082.576900451382,18108.91590559738,28906.865017667536,23651.385522183286,28075.39201987976,19591.185807352664,34328.83729146044,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,bla3
NP_001104026.1,22106.3,32174.6,28072.4,31264.1,45191.5,39870.3,33688.6,46530.0,43499.4,32481.8,42074.6,48838.3,42974.487321692635,37740.35832963729,41795.74609187994,36621.82205644432,37740.35832963729,36680.79987112488,35939.25940732998,37740.35832963729,35918.49601796337,35185.250801227354,37740.35832963729,36680.79987112488,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,bla4
NP_006280.3,12457.9,20406.0,17340.7,18193.2,25173.6,23118.1,20672.8,27516.3,25912.9,19352.6,24082.6,25566.0,26362.000889185016,25491.20794641289,24965.56539851149,20118.192157369027,21470.12455261224,20667.997058081626,22075.186911324818,21942.361599011234,21786.982552858073,19926.00668275088,19787.07919140733,21281.02557719515,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,bla5
NP_003371.2,47818.9,42664.1,60445.9,75966.0,65937.9,98001.9,78924.3,76800.7,103808.0,84439.1,110019.1,75159.6,79373.83916344197,84987.07100977167,79388.89947007515,79373.83916344197,77556.35150605714,79388.89947007515,79373.83916344197,77556.35150605714,79388.89947007515,79373.83916344197,77556.35150605714,79388.89947007515,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,bla6
NP_733821.1,32198.3,33367.3,38208.2,52302.1,50799.0,62699.7,52502.7,55194.3,68047.3,56570.4,66445.9,54005.2,50863.80103625879,47657.54484418684,53703.84631369359,50863.80103625879,48512.486053189896,53703.84631369359,50863.80103625879,48512.486053189896,53703.84631369359,50863.80103625879,58932.87781899158,42864.065500689714,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,bla7
NP_005091.2,6238.1,8023.4,16728.7,10290.7,14268.7,30566.1,11015.1,14327.0,33196.3,11595.0,33603.8,14992.3,15082.296343035423,12954.100082714314,17563.510735935248,16520.223161431237,14616.750287719618,19154.548032076455,17144.44341128414,14326.469684114523,20070.81727458773,17689.445194569093,24795.411933093626,10236.911506357845,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,bla8
NP_006608.1,19284.2,14526.3,19396.5,35084.1,20728.0,31848.4,36987.7,20717.9,33676.9,39044.2,32999.6,21444.2,25014.388725509205,29701.74737462843,32721.438026754004,31638.92828757113,28094.667828788013,31286.698826120104,31638.92828757113,27934.147634014305,31286.698826120104,31638.92828757113,34096.881009963974,24803.197718547286,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,bla9
NP_006588.1,19612.3,41204.4,31493.8,30377.5,59524.1,49172.1,32720.6,67534.6,55504.1,32383.6,54593.5,65676.1,52846.62343250594,55483.76603507745,46204.48592462863,44760.39238461989,41394.446984328475,44074.26723968886,42338.49989797996,46055.57604183479,46204.48592462863,42338.49989797996,40161.54723779197,46204.48592462863,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,bla10
NP_008835.5,10957.3,11998.4,18174.7,11549.2,10528.4,19889.7,12807.2,11691.9,22368.7,11414.0,19681.0,10169.1,24215.499127345414,17548.056931592444,22110.76722273886,12027.815511775036,12266.051146020154,14609.267546613437,12963.117532282387,12995.138342242617,15291.688713032145,11009.176862006821,17734.237051311862,8829.629748816329,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11
NP_001352542.1,13591.5,12355.8,20366.8,30229.9,23080.1,43439.1,33185.4,23172.0,47192.3,37062.5,51670.0,26381.0,19237.663497054742,24659.37690468817,29940.90829104483,29097.83094086273,27290.916774349418,36062.715111775935,29097.83094086273,27418.32350403835,36062.715111775935,44493.46750566999,43041.169570411206,20854.30995456764,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,bla12
NP_002464.1,11798.1,16056.8,15371.9,18006.9,20898.2,23741.6,18953.9,22605.4,26016.7,19427.3,25402.4,22284.2,23186.21138100311,21931.636710130882,22074.393197493344,19303.73237004181,19204.770473564116,20382.52705936652,19303.73237004181,20031.362738143813,21161.726544184115,20692.817052716793,21411.682330991556,19021.6291783605,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,bla13
