Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control
XP_005251039.1,192.3,,,206.6,,,241.6,,,214.1,,
NP_842565.2,340.0,,,564.7,,,613.5,,,594.1,,
XP_024309291.1,,,298.5,,,369.6,,,381.7,,419.8,
NP_001287789.1,,,,,,,,,,,,
NP_068814.2,,93.1,,,91.8,,,82.9,,,,90.7
XP_011529449.1,86.9,,,128.6,,,123.4,,,139.0,,
NP_938149.2,,,317.7,,,586.3,,,692.5,,608.0,
NP_001017992.1,,28.6,,,25.8,,,32.1,,,,27.7
NP_001949.1,,39.0,,,39.9,,,42.2,,,,50.1
NP_001278464.1,,65.2,,,110.2,,,109.7,,,,117.8
XP_024303167.1,,,285.4,,,398.0,,,399.1,,386.0,
NP_001351860.1,,,,,,,,,,,,
NP_001306007.1,,601.0,,,868.0,,,861.2,,,,864.8
NP_002146.2,,,,,,,,,,,,
NP_443069.1,,,,,,,,,,,,
NP_114127.3,152.5,,,186.5,,,175.2,,,205.7,,
NP_001229687.1,,123.8,,,221.4,,,230.8,,,,233.5
NP_001958.2,350.9,,,491.4,,,506.6,,,487.3,,
NP_001005751.1,,,,,,,,,,,,
NP_001350867.1,,,,,,,,,,,,
NP_002700.1,,661.9,,,851.8,,,863.4,,,,856.3
XP_024303864.1,,,,,,,,,,,,
NP_444295.1,,,,,,,,,,,,
NP_778235.1,,,236.6,,,137.3,,,65.3,,90.4,
NP_001198.2,,2522.6,,,3559.7,,,3442.3,,,,3819.6
NP_001171889.1,,,1250.6,,,2182.5,,,2328.8,,2304.4,
NP_001008709.1,,,,,,,,,,,,
NP_001118.3,,1891.8,,,2296.6,,,2497.0,,,,2243.0
NP_004975.2,336.8,,,527.9,,,556.8,,,566.9,,
NP_001027565.1,284.0,,,341.7,,,313.5,,,358.3,,
XP_011528302.1,54.5,,,200.4,,,211.2,,,239.0,,
NP_001120665.1,,,12.5,,,37.7,,,25.0,,44.1,
NP_958815.1,,,501.8,,,805.8,,,812.1,,835.6,
XP_016882579.1,,,,,,,,,,,,
NP_000415.2,,441.7,,,524.1,,,577.1,,,,532.8
NP_000994.1,,535.6,,,914.8,,,769.0,,,,782.9
NP_001627.2,245.3,,,289.0,,,270.6,,,307.6,,
XP_005265126.1,1166.7,,,1504.2,,,1548.6,,,1614.9,,
XP_011533491.1,,1687.5,,,2134.4,,,2228.8,,,,2215.7
XP_016869465.1,149.6,,,203.9,,,207.6,,,221.2,,
NP_444252.1,,1490.7,,,3018.9,,,2693.9,,,,3111.5
NP_001307520.1,,682.4,,,811.3,,,854.4,,,,946.7
NP_064516.2,274.9,,,350.5,,,324.4,,,359.7,,
