Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 127C Sample,Abundance R2 128N Sample,Abundance R3 127C Sample,Abundance R3 128C Sample,Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R3 128N Sample,Abundance R1 127C Sample,Abundance R1 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_005251033.1,74054.7,124349.4,57905.7,67453.5,54892.9,113976.1,78459.0,39250.7,61290.1,72004.0,115226.1,131329.0,77713.21666666667,92087.625,45811.75833333334,77713.21666666667,45811.75833333334,92087.625,77713.21666666667,45811.75833333334,48571.61666666666,92087.625,92087.625,92087.625,41878.7,67285.8,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,bla1
XP_016873759.1,25771.4,22486.2,42002.5,24332.9,37934.7,21067.5,24418.8,28127.6,39450.1,14167.7,18153.7,21835.2,31248.075,18860.458333333332,34697.75,31248.075,30822.208333333332,18692.51666666667,28043.316666666666,36987.691666666666,32876.399999999994,20693.55,17331.0,18052.225,15718.3,20761.3,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,bla3
NP_001104026.1,32481.8,42074.6,48838.3,31264.1,45191.5,39870.3,33688.6,32174.6,46530.0,28072.4,40721.9,43499.4,34697.75,39101.30833333333,39101.30833333333,36987.691666666666,39101.30833333333,39101.30833333333,36039.025,39101.30833333333,39101.30833333333,45811.75833333334,42324.98333333333,38093.325000000004,22106.3,31620.3,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,bla4
NP_006280.3,19352.6,24082.6,25566.0,18193.2,25173.6,23118.1,20672.8,20406.0,27516.3,17340.7,27546.4,25912.9,22840.325,19547.241666666665,21004.033333333333,22945.666666666668,22107.566666666666,20121.508333333335,23941.25833333333,28043.316666666666,22840.325,26266.525000000005,27388.25833333333,21727.225000000002,12457.9,19863.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,bla5
NP_003371.2,84439.1,110019.1,75159.6,75966.0,65937.9,98001.9,78924.3,42664.1,76800.7,60445.9,81213.9,103808.0,92087.625,77713.21666666667,77713.21666666667,92087.625,77713.21666666667,77713.21666666667,92087.625,92087.625,77713.21666666667,77713.21666666667,77713.21666666667,77713.21666666667,47818.9,63406.0,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,bla6
NP_733821.1,56570.4,66445.9,54005.2,52302.1,50799.0,62699.7,52502.7,33367.3,55194.3,38208.2,51353.0,68047.3,57386.25,57386.25,42324.98333333333,57386.25,43428.1,57386.25,57386.25,42324.98333333333,43428.1,57386.25,57386.25,57386.25,32198.3,42372.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,bla7
NP_005091.2,11595.0,33603.8,14992.3,10290.7,14268.7,30566.1,11015.1,8023.4,14327.0,16728.7,24931.2,33196.3,12347.758333333333,29022.61666666667,13934.433333333332,11845.016666666665,13433.916666666666,26818.175000000003,12105.566666666666,10898.916666666666,13036.908333333331,24494.5,25055.28333333333,28043.316666666666,6238.1,8885.1,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,bla8
NP_006608.1,39044.2,32999.6,21444.2,35084.1,20728.0,31848.4,36987.7,14526.3,20717.9,19396.5,27619.0,33676.9,48571.61666666666,27388.25833333333,18270.841666666664,48571.61666666666,18270.841666666664,29022.61666666667,48571.61666666666,20693.55,18052.225,31248.075,28043.316666666666,29022.61666666667,19284.2,29911.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,bla9
NP_006588.1,32383.6,54593.5,65676.1,30377.5,59524.1,49172.1,32720.6,41204.4,67534.6,31493.8,46223.9,55504.1,33861.53333333333,45811.75833333334,48571.61666666666,36039.025,48571.61666666666,45811.75833333334,33861.53333333333,77713.21666666667,57386.25,48571.61666666666,48571.61666666666,48571.61666666666,19612.3,28791.5,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,bla10
NP_008835.5,11414.0,19681.0,10169.1,11549.2,10528.4,19889.7,12807.2,11998.4,11691.9,18174.7,31914.1,22368.7,12256.475,16544.3,8969.375,13036.908333333331,9842.341666666667,17691.35,13626.541666666666,16325.908333333335,10738.341666666669,29022.61666666667,34697.75,18692.51666666667,10957.3,19224.8,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11
