Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 127C Sample,Abundance R2 128N Sample,Abundance R3 127C Sample,Abundance R3 128C Sample,Abundance R3 128N Sample
XP_005251039.1,214.1,,,206.6,,,241.6,,,,,
NP_842565.2,594.1,,,564.7,,,613.5,,,,,
XP_024309291.1,,419.8,,,,369.6,,,,298.5,401.4,381.7
XP_005268563.1,26.4,221.6,,23.0,,221.1,27.4,,,125.0,174.0,219.2
NP_001287789.1,,,,,,,,,,,,
XP_024307259.1,1667.9,1737.4,,1606.5,,1666.2,1802.9,,,933.9,1563.8,1843.6
NP_068814.2,,,90.7,,91.8,,,93.1,82.9,,,
NP_001028886.1,1664.2,422.7,,1423.7,,407.2,1530.3,,,188.7,310.5,428.5
XP_011529449.1,139.0,,,128.6,,,123.4,,,,,
NP_938149.2,,608.0,,,,586.3,,,,317.7,665.7,692.5
NP_001017992.1,,,27.7,,25.8,,,28.6,32.1,,,
NP_001949.1,,,50.1,,39.9,,,39.0,42.2,,,
XP_024302117.1,4599.0,7276.0,,4336.8,,6583.9,4526.1,,,3851.7,5631.3,7200.2
NP_001278464.1,,,117.8,,110.2,,,65.2,109.7,,,
XP_024303167.1,,386.0,,,,398.0,,,,285.4,350.6,399.1
NP_001351860.1,,,,,,,,,,,,
NP_054782.2,177.3,250.7,,153.4,,266.1,166.7,,,137.4,229.5,256.0
NP_003642.3,344.5,1339.3,,351.0,,1291.1,349.4,,,757.9,1053.1,1383.4
NP_005156.1,1407.2,768.9,,1384.3,,750.8,1451.7,,,572.7,820.3,818.3
NP_001306007.1,,,864.8,,868.0,,,601.0,861.2,,,
NP_002146.2,,,,,,,,,,,,
NP_001288155.1,646.8,1751.9,,649.2,,1626.4,641.6,,,1013.2,1282.2,1793.6
NP_443069.1,,,,,,,,,,,,
NP_114127.3,205.7,,,186.5,,,175.2,,,,,
NP_001229687.1,,,233.5,,221.4,,,123.8,230.8,,,
NP_001958.2,487.3,,,491.4,,,506.6,,,,,
NP_001005751.1,,,,,,,,,,,,
NP_001350867.1,,,,,,,,,,,,
NP_002700.1,,,856.3,,851.8,,,661.9,863.4,,,
XP_024303864.1,,,,,,,,,,,,
NP_444295.1,,,,,,,,,,,,
NP_778235.1,,90.4,,,,137.3,,,,236.6,187.8,65.3
NP_001198.2,,,3819.6,,3559.7,,,2522.6,3442.3,,,
NP_001171889.1,,2304.4,,,,2182.5,,,,1250.6,1901.3,2328.8
NP_001805.4,480.4,145.9,,460.6,,149.8,409.6,,,130.2,159.5,118.2
NP_060140.2,994.3,1312.4,,863.2,,1392.9,907.5,,,845.1,1277.9,1442.1
NP_001008709.1,,,,,,,,,,,,
NP_001058.2,919.7,,296.0,1004.2,224.2,,1011.9,85.1,278.2,,,
NP_078880.2,1185.2,1521.8,,1046.2,,1430.4,1068.8,,,762.0,1098.0,1321.2
NP_001118.3,,,2243.0,,2296.6,,,1891.8,2497.0,,,
NP_004975.2,566.9,,,527.9,,,556.8,,,,,
NP_001027565.1,358.3,,,341.7,,,313.5,,,,,
XP_024305248.1,1235.9,,3408.5,1162.0,2737.7,,1073.0,1403.7,2864.9,,,
XP_011528302.1,239.0,,,200.4,,,211.2,,,,,
NP_005849.1,787.7,1435.8,,800.5,,1463.4,807.4,,,943.5,1486.1,1496.1
NP_001120665.1,,44.1,,,,37.7,,,,12.5,27.5,25.0
NP_073572.2,941.5,344.7,,939.6,,365.5,958.8,,,232.5,348.0,343.5
NP_056450.2,536.4,,331.7,535.2,323.6,,569.3,383.2,318.6,,,
NP_006353.2,1494.1,2244.8,,1479.6,,2072.8,1464.9,,,1322.1,2254.7,2212.5
NP_001307256.1,1672.3,1590.7,,1635.1,,1577.4,1367.7,,,955.3,953.1,1404.9
NP_958815.1,,835.6,,,,805.8,,,,501.8,610.2,812.1
XP_016882579.1,,,,,,,,,,,,
NP_001310245.1,441.3,349.2,,448.8,,327.6,477.6,,,272.2,366.3,402.4
NP_005917.2,5655.4,290.5,,5700.1,,276.7,5645.4,,,134.7,164.7,294.1
NP_001229971.1,50.5,72.7,,53.2,,67.4,47.0,,,60.4,91.8,67.9
NP_000415.2,,,532.8,,524.1,,,441.7,577.1,,,
NP_001171903.1,487.5,2867.7,,503.2,,2846.8,455.9,,,1484.4,2202.9,2898.4
NP_000971.1,2105.7,,328.3,2071.2,381.2,,1995.7,237.8,338.6,,,
NP_003123.2,60.8,,1484.8,58.0,1505.6,,74.4,1327.6,1407.3,,,
NP_000994.1,,,782.9,,914.8,,,535.6,769.0,,,
NP_000192.2,1656.5,307.9,,1694.7,,280.0,1571.7,,,157.1,254.6,307.0
NP_005505.2,1199.8,1005.2,,1063.5,,878.6,1113.8,,,477.8,739.3,1004.3
NP_002475.2,1009.1,621.5,,1037.3,,580.0,993.8,,,413.8,633.3,575.7
NP_001656.2,88.6,,480.4,102.2,458.6,,87.0,372.3,466.9,,,
NP_001627.2,307.6,,,289.0,,,270.6,,,,,
XP_016882391.1,155.4,,498.4,138.1,445.8,,143.5,309.7,464.0,,,
XP_006711821.1,703.3,,878.2,790.3,825.9,,846.4,628.3,804.4,,,
XP_005265126.1,1614.9,,,1504.2,,,1548.6,,,,,
NP_067642.1,885.6,1057.9,,874.5,,1055.3,790.0,,,694.3,1091.2,982.2
XP_011531375.1,612.5,38.1,,569.1,,35.2,529.9,,,34.9,48.5,31.6
NP_001129667.1,748.3,843.1,,725.8,,786.8,677.6,,,504.3,926.4,774.9
NP_004025.1,2580.0,1872.7,,2750.8,,1953.3,2734.8,,,1121.4,1769.4,1890.0
XP_011533491.1,,,2215.7,,2134.4,,,1687.5,2228.8,,,
NP_006288.2,16.0,,3661.3,16.4,3407.0,,25.7,2541.2,3676.2,,,
XP_011511125.1,2635.3,28.9,,2486.5,,22.9,2723.2,,,23.5,31.6,37.4
XP_016869465.1,221.2,,,203.9,,,207.6,,,,,
NP_444252.1,,,3111.5,,3018.9,,,1490.7,2693.9,,,
NP_001307520.1,,,946.7,,811.3,,,682.4,854.4,,,
NP_064516.2,359.7,,,350.5,,,324.4,,,,,
NP_620061.2,963.4,,634.5,993.2,733.8,,1013.3,614.9,753.2,,,
NP_005990.1,1257.9,2574.5,,1327.2,,2437.1,1340.6,,,1576.0,2189.0,2475.8
XP_016859148.1,1174.7,258.6,,995.9,,261.4,1221.3,,,185.7,278.8,267.8
NP_001019907.1,152.2,342.0,,152.2,,323.1,149.5,,,200.7,271.6,338.5
