Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127C Sample,Abundance R1 127N Sample,Abundance R1 128C Sample,Abundance R2 127C Sample,Abundance R2 127N Sample,Abundance R2 128C Sample,Abundance R3 127C Sample,Abundance R3 127N Sample,Abundance R3 128C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R3 128C Sample
XP_005251033.1,74054.7,124349.4,57905.7,41878.7,67453.5,67285.8,39250.7,54892.9,61010.8,72004.0,113976.1,115226.1,62887.423257967246,85491.64360832109,42955.70415381185,62887.423257967246,62887.423257967246,87884.56569488536,52130.32778192578,52130.32778192578,85491.64360832109,78400.0883386857,78400.0883386857,78400.0883386857
XP_016873759.1,25771.4,22486.2,42002.5,15718.3,24332.9,20761.3,28127.6,37934.7,35638.3,14167.7,21067.5,18153.7,26140.62266645434,17615.417207253653,33901.59052779623,29403.945952296745,26140.62266645434,20812.1387820366,31393.710004523848,26227.980428445728,27918.047190348858,23779.219734159342,22330.57685285076,21357.74304731159
NP_001104026.1,32481.8,42074.6,48838.3,22106.3,31264.1,31620.3,32174.6,45191.5,46773.6,28072.4,39870.3,40721.9,33025.81017676824,37278.34068574509,35990.167057690924,41578.698245946136,35131.540975594064,41578.698245946136,37278.34068574509,37278.34068574509,39491.88224455939,41598.542747001724,35990.167057690924,38168.24611581189
NP_006280.3,19352.6,24082.6,25566.0,12457.9,18193.2,19863.4,20406.0,25173.6,30793.3,17340.7,23118.1,27546.4,19794.84868689941,18649.964730825704,20269.105485564356,24838.71077438002,19982.04976040527,24838.71077438002,24942.080773518013,20583.61694415033,25478.904674153324,24386.58879526716,19450.5717624703,25351.41788071546
NP_003371.2,84439.1,110019.1,75159.6,47818.9,75966.0,63406.0,42664.1,65937.9,57509.5,60445.9,98001.9,81213.9,75793.55918553853,74350.42625217991,71679.05698226695,75793.55918553853,75793.55918553853,59639.12571178137,83821.53209384644,74350.42625217991,52967.43622467629,71679.05698226695,71679.05698226695,71679.05698226695
NP_733821.1,56570.4,66445.9,54005.2,32198.3,52302.1,42372.0,33367.3,50799.0,44996.3,38208.2,62699.7,51353.0,48037.30062534287,56427.41648269213,38927.94562063811,48037.30062534287,48037.30062534287,48037.30062534287,45198.00850042913,46364.805210294624,42483.10019082012,51229.19175201426,51229.19175201426,51229.19175201426
NP_005091.2,11595.0,33603.8,14992.3,6238.1,10290.7,8885.1,8023.4,14268.7,11888.1,16728.7,30566.1,24931.2,16056.706930528277,24820.917435476284,9492.971211473672,15143.707509336475,15625.632216937216,14800.482031390799,11738.35628125218,13666.611148118267,11828.498345624532,17375.844807468875,19164.879746323193,17794.016171240844
NP_006608.1,39044.2,32999.6,21444.2,19284.2,35084.1,29911.0,14526.3,20728.0,20337.3,19396.5,31848.4,27619.0,30572.60696679031,31706.851955120193,22647.216189668856,27171.056699744586,30572.60696679031,28064.378920859108,27466.09307636488,26046.876495496734,26719.53343652738,31494.768457129925,29877.34504906758,29367.361778860588
NP_006588.1,32383.6,54593.5,65676.1,19612.3,30377.5,28791.5,41204.4,59524.1,60344.8,31493.8,49172.1,46223.9,42582.91243380029,37255.874120442655,46042.44451694545,48274.66600901464,44100.922841290725,44987.87095471407,54550.556454885686,39030.48166203807,54550.556454885686,46042.44451694545,43204.61479951991,46042.44451694545
NP_008835.5,11414.0,19681.0,10169.1,10957.3,11549.2,19224.8,11998.4,10528.4,21189.3,18174.7,19889.7,31914.1,10680.574927429047,17844.459803332433,7561.5274636273225,21649.678952461363,11520.798755373358,25376.8052592467,17844.459803332433,12072.014710348954,21145.423026801807,22335.265142346776,14049.431210791845,26754.653933399906
