Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127C Sample,Abundance R1 127N Sample,Abundance R1 128C Sample,Abundance R2 127C Sample,Abundance R2 127N Sample,Abundance R2 128C Sample,Abundance R3 127C Sample,Abundance R3 127N Sample,Abundance R3 128C Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R3 128C Sample
XP_005251033.1,74054.7,124349.4,57905.7,41878.7,67453.5,67285.8,39250.7,54892.9,61010.8,72004.0,113976.1,115226.1,69926.70000000001,82089.89166666668,42465.76666666667,69926.70000000001,69926.70000000001,82089.89166666668,42465.76666666667,42465.76666666667,82089.89166666668,82089.89166666668,82089.89166666668,82089.89166666668
XP_016873759.1,25771.4,22486.2,42002.5,15718.3,24332.9,20761.3,28127.6,37934.7,35638.3,14167.7,21067.5,18153.7,28471.13333333333,17487.874999999996,31769.024999999998,30135.733333333334,28471.13333333333,25753.108333333337,34402.575000000004,28060.949999999997,30135.733333333334,19169.133333333335,17365.925,16154.983333333335
NP_001104026.1,32481.8,42074.6,48838.3,22106.3,31264.1,31620.3,32174.6,45191.5,46773.6,28072.4,39870.3,40721.9,31769.024999999998,36580.53333333333,36580.53333333333,42465.76666666667,34402.575000000004,42465.76666666667,36580.53333333333,36580.53333333333,38866.13333333333,42465.76666666667,36580.53333333333,38866.13333333333
NP_006280.3,19352.6,24082.6,25566.0,12457.9,18193.2,19863.4,20406.0,25173.6,30793.3,17340.7,23118.1,27546.4,21079.56666666667,18116.091666666667,19482.7,24074.791666666668,21190.733333333334,24074.791666666668,25753.108333333337,20463.049999999996,26404.675000000003,24074.791666666668,18569.816666666666,25150.833333333332
NP_003371.2,84439.1,110019.1,75159.6,47818.9,75966.0,63406.0,42664.1,65937.9,57509.5,60445.9,98001.9,81213.9,82089.89166666668,69926.70000000001,69926.70000000001,82089.89166666668,82089.89166666668,69926.70000000001,82089.89166666668,69926.70000000001,42465.76666666667,69926.70000000001,69926.70000000001,69926.70000000001
NP_733821.1,56570.4,66445.9,54005.2,32198.3,52302.1,42372.0,33367.3,50799.0,44996.3,38208.2,62699.7,51353.0,52805.40833333333,52805.40833333333,38866.13333333333,52805.40833333333,52805.40833333333,52805.40833333333,38866.13333333333,40314.49999999999,35496.066666666666,52805.40833333333,52805.40833333333,52805.40833333333
NP_005091.2,11595.0,33603.8,14992.3,6238.1,10290.7,8885.1,8023.4,14268.7,11888.1,16728.7,30566.1,24931.2,11523.283333333333,26404.675000000003,13171.483333333335,10570.783333333335,11073.558333333332,10212.708333333334,10245.358333333334,12627.099999999999,10356.7,22468.708333333332,24578.733333333334,22961.90833333333
NP_006608.1,39044.2,32999.6,21444.2,19284.2,35084.1,29911.0,14526.3,20728.0,20337.3,19396.5,31848.4,27619.0,45283.53333333333,25150.833333333332,17167.291666666668,36580.53333333333,45283.53333333333,38866.13333333333,19169.133333333335,17167.291666666668,18116.091666666667,28471.13333333333,26404.675000000003,25753.108333333337
NP_006588.1,32383.6,54593.5,65676.1,19612.3,30377.5,28791.5,41204.4,59524.1,60344.8,31493.8,49172.1,46223.9,31136.574999999997,42465.76666666667,45283.53333333333,38866.13333333333,33198.075000000004,34402.575000000004,69926.70000000001,45283.53333333333,69926.70000000001,45283.53333333333,42465.76666666667,45283.53333333333
NP_008835.5,11414.0,19681.0,10169.1,10957.3,11549.2,19224.8,11998.4,10528.4,21189.3,18174.7,19889.7,31914.1,11426.691666666668,15299.658333333331,8471.991666666667,20036.45,12086.191666666666,22961.90833333333,15299.658333333331,9236.425000000001,18766.908333333333,26404.675000000003,16347.15,31769.024999999998
NP_001352542.1,37062.5,51670.0,26381.0,13591.5,30229.9,20821.3,12355.8,23080.1,17887.7,20366.8,43439.1,31354.8,38866.13333333333,38866.13333333333,20036.45,27273.04166666667,31769.024999999998,26404.675000000003,15609.875,18766.908333333333,15609.875,31136.574999999997,38866.13333333333,31136.574999999997
NP_002464.1,19427.3,25402.4,22284.2,11798.1,18006.9,17417.6,16056.8,20898.2,22470.5,15371.9,23741.6,22669.0,21190.733333333334,19720.416666666668,17856.141666666666,22961.90833333333,20036.45,21684.216666666664,20463.049999999996,17365.925,19482.7,21684.216666666664,19482.7,20754.775
XP_006720633.1,16791.8,18958.2,22244.8,13461.3,17048.4,20723.8,16835.4,21019.6,26205.1,15120.2,19550.3,24030.7,17680.316666666666,14526.916666666666,17680.316666666666,26404.675000000003,18988.666666666668,25150.833333333332,21190.733333333334,17487.874999999996,22468.708333333332,20754.775,16154.983333333335,22041.350000000002
NP_001017963.2,13310.9,17617.5,17971.2,7839.3,12191.6,11471.8,12818.4,16905.1,18231.6,10792.9,15937.3,15297.9,12939.175000000001,13432.5,15200.641666666668,13267.225,12627.099999999999,13357.916666666664,16965.591666666667,14973.983333333332,15860.925000000001,14526.916666666666,13171.483333333335,13952.325000000003
NP_001258898.1,21943.7,35543.7,36182.3,12932.5,20568.1,19586.8,23820.0,33843.0,34946.2,19959.7,32030.0,29230.3,22961.90833333333,28060.949999999997,26404.675000000003,25150.833333333332,23521.149999999994,23521.149999999994,29189.375,26404.675000000003,28471.13333333333,29189.375,27273.04166666667,28471.13333333333
NP_005338.1,37286.4,38669.3,34448.9,21355.9,34076.4,30236.0,21709.6,32098.6,30072.0,22358.9,35732.2,31310.0,40314.49999999999,31769.024999999998,25753.108333333337,40314.49999999999,40314.49999999999,40314.49999999999,26404.675000000003,25753.108333333337,25753.108333333337,31769.024999999998,31136.574999999997,30135.733333333334
NP_001419.1,33984.0,41833.5,54340.1,22230.2,29931.6,33880.7,39632.5,50070.7,58214.0,27935.3,38649.3,42240.0,33198.075000000004,35496.066666666666,40314.49999999999,45283.53333333333,31136.574999999997,45283.53333333333,45283.53333333333,38866.13333333333,45283.53333333333,40314.49999999999,35496.066666666666,42465.76666666667
