Accession,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,Abundance R1 127C Sample,Abundance R1 127N Sample,Abundance R1 128C Sample,Abundance R2 127C Sample,Abundance R2 127N Sample,Abundance R2 128C Sample,Abundance R3 127C Sample,Abundance R3 127N Sample,Abundance R3 128C Sample
XP_005251039.1,214.1,,,192.3,206.6,251.5,,,,,,
NP_001186883.1,,377.8,334.8,,,,263.3,316.9,325.0,286.6,357.9,358.9
NP_842565.2,594.1,,,340.0,564.7,483.8,,,,,,
XP_024309291.1,,419.8,,,,,,,,298.5,369.6,401.4
XP_005268563.1,26.4,221.6,,19.6,23.0,22.0,,,,125.0,221.1,174.0
NP_001060.1,,135.0,1175.2,,,,1058.2,1142.6,1419.9,112.2,138.5,158.4
NP_001287789.1,,,,,,,,,,,,
XP_024307259.1,1667.9,1737.4,,925.6,1606.5,1470.0,,,,933.9,1666.2,1563.8
NP_068814.2,,,90.7,,,,93.1,91.8,100.8,,,
NP_001028886.1,1664.2,422.7,,701.5,1423.7,1074.1,,,,188.7,407.2,310.5
XP_011529449.1,139.0,,,86.9,128.6,108.8,,,,,,
NP_001153149.1,,251.8,435.4,,,,312.3,418.3,402.7,158.0,243.6,202.1
NP_938149.2,,608.0,,,,,,,,317.7,586.3,665.7
NP_001017992.1,,,27.7,,,,28.6,25.8,40.8,,,
NP_001156008.1,,507.1,788.9,,,,611.5,916.3,922.4,252.2,474.1,421.8
NP_001274522.1,,4615.7,3436.8,,,,2336.6,3571.9,3870.8,2256.3,4499.9,4169.2
NP_001949.1,,,50.1,,,,39.0,39.9,61.9,,,
XP_024302117.1,4599.0,7276.0,,2638.7,4336.8,3750.9,,,,3851.7,6583.9,5631.3
NP_001278464.1,,,117.8,,,,65.2,110.2,97.7,,,
XP_024303167.1,,386.0,,,,,,,,285.4,398.0,350.6
NP_001351860.1,,,,,,,,,,,,
NP_054782.2,177.3,250.7,,67.8,153.4,129.4,,,,137.4,266.1,229.5
NP_003642.3,344.5,1339.3,,266.0,351.0,345.2,,,,757.9,1291.1,1053.1
NP_005156.1,1407.2,768.9,,1134.1,1384.3,1574.8,,,,572.7,750.8,820.3
NP_001269468.1,,888.4,1226.0,,,,1037.7,1230.1,1510.5,706.6,850.7,987.4
NP_001306007.1,,,864.8,,,,601.0,868.0,769.5,,,
NP_002146.2,,,,,,,,,,,,
