_GENE_SYMBOL_,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Accession,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL,s1_avg,p_value_s1,minus_log10_pvalues1,s2_avg,p_value_s2,minus_log10_pvalues2,s3_avg,p_value_s3,minus_log10_pvalues3,fold_change_s1,log2_fc_s1,expression_s1,fold_change_s2,log2_fc_s2,expression_s2,fold_change_s3,log2_fc_s3,expression_s3
PRKDC,11549.2,10528.4,19889.7,10957.3,11998.4,18174.7,12807.2,11691.9,22368.7,11414.0,19681.0,10169.1,12365.441666666668,9462.291666666666,16996.416666666668,20796.18333333333,15694.216666666667,27784.68333333333,13034.833333333334,10321.708333333334,17932.100000000002,11701.933333333334,15884.633333333331,8611.425000000001,NP_008835.5,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11,12941.383333333333,0.7878505738673963,0.10355614431062114,21425.027777777777,0.0985623060595344,1.0062891438848598,13762.880555555557,0.6095176229720387,0.21501373311554764,1.0725498352924276,0.10104468311773032,,1.7756532993658258,0.8283499194619935,up-regulated,1.140633492788159,0.1898353007607809,
FASN,7838.2,10344.6,5792.7,7646.8,9083.6,5278.8,8575.6,10770.4,6471.6,7384.0,5818.4,9925.7,8779.6,9118.125,4977.825,13204.983333333332,12040.833333333334,7551.05,9039.908333333336,9276.358333333334,5221.658333333333,7891.133333333334,4660.441666666667,8475.916666666666,NP_004095.4,12235.0,9025.2,15611.6,10066.2,7386.1,10624.5,7362.8,5251.0,9703.2,7747.6,5635.7,9242.9,6068.6,4088.9,7520.8,bla30,7625.183333333333,0.7469611514474804,0.12670198473175023,10932.28888888889,0.14313622979113946,0.8442504262897996,7845.975000000001,0.6613140193812941,0.17959227046795403,1.087887721589871,0.12152966700720597,,1.559713692273488,0.6412812261093596,up-regulated,1.1193881501954388,0.16271038060682255,
DYNC1H1,7055.8,10177.7,7273.6,6425.4,9439.1,5764.2,8075.6,11533.4,8408.8,7285.8,7535.1,9814.2,8003.775000000001,8821.366666666665,6226.891666666666,11234.375,12587.025,8083.624999999999,8730.066666666668,10244.85,6871.633333333334,7745.475000000001,6121.399999999999,8392.466666666665,NP_001367.2,9721.3,9067.9,15158.7,9095.8,9364.5,13868.5,7709.2,7013.1,11666.5,8256.0,8155.6,12768.6,7398.1,6209.7,11901.2,bla43,7684.011111111111,0.8087887796151826,0.09216488237379655,10635.008333333333,0.12184391529476672,0.9141961539629527,8615.516666666668,0.3770742160335597,0.42357316321142136,1.03561164020649,0.050483086238842775,,1.4333319231888033,0.5193727397380995,up-regulated,1.1611551854071755,0.215560797574575,
HNRNPU ,763.5,1990.7,2761.1,324.6,806.0,1362.6,979.6,2477.8,3673.4,1045.9,3848.4,2445.9,759.5166666666665,1784.4499999999998,2433.7333333333336,475.4333333333332,1042.1833333333332,1916.3,948.8333333333336,2192.5,3021.4500000000003,1003.2916666666666,3168.5333333333333,2147.741666666667,NP_004492.2,665.5,2491.9,1732.9,628.9,2504.4,1713.4,476.9,1850.8,1222.3,416.5,1603.2,1008.4,215.8,862.0,574.7,bla50,1659.2333333333333,0.6044761967055761,0.2186207962803913,1144.6388888888887,0.27962256155617254,0.5534277901364983,2054.2611111111114,0.954894793004753,0.020044474839739347,0.7876647660440853,-0.3443463526054365,,0.5433785016905166,-0.8799706072038495,down-regulated,0.9751908094964318,-0.03624356527501244,
CLTC,3925.1,11156.6,9600.5,3637.8,10222.9,8210.5,4316.1,12389.2,10639.4,3780.4,9501.4,10818.5,4172.916666666667,9899.45,7934.058333333333,6686.599999999999,13691.833333333334,11540.308333333334,4402.575,10927.383333333331,8437.741666666665,3932.275,7618.808333333333,9169.966666666667,NP_001275582.1,6043.3,13925.5,17177.5,6074.5,13403.8,16389.6,4416.7,10518.9,13275.2,5227.8,12001.9,14277.4,4298.8,9802.3,12272.7,bla66,7335.475000000001,0.8606246271423511,0.06518623055302233,10639.580555555556,0.22823839710478835,0.6416112913465545,7922.566666666666,0.7011305962230732,0.154201080554756,1.0620323294427647,0.08682768404869015,,1.540401749267854,0.623306666561367,up-regulated,1.1470316417363018,0.197905189737701,
CCT7,4353.9,8729.1,9199.3,3733.2,7429.9,7964.7,4497.0,9063.4,9860.3,4377.0,9693.8,8917.6,4612.458333333333,7510.200000000001,7745.475000000001,6888.966666666667,9772.866666666669,11313.575000000004,4660.441666666667,7745.475000000001,7934.058333333333,4439.233333333334,7745.475000000001,7432.600000000001,NP_006420.1,5348.1,11593.0,11008.3,4798.0,11448.2,9811.8,4488.9,9215.9,9377.7,4066.0,8619.7,7616.2,3836.8,8114.3,7566.2,bla75,6622.711111111112,0.9570227838989933,0.019077722825221632,9325.136111111113,0.17375066165231673,0.7600735329168242,6779.991666666668,0.8798443848163066,0.055594133295060126,1.0127859029250104,0.018329228992517713,,1.4260574314264147,0.5120320844224968,up-regulated,1.0368382172715676,0.052190801240283205,
ACTA1,2902.5,96.0,518.4,2806.1,90.3,536.6,2965.9,97.4,546.9,3266.3,612.9,109.5,3080.2,116.95,433.4166666666667,4958.941666666667,140.975,716.2416666666667,3045.85,121.99166666666667,441.25,3316.183333333334,497.5416666666666,122.86666666666665,NP_001091.1,4276.6,808.7,118.0,2748.3,512.2,75.1,3903.0,721.7,106.8,2519.6,480.7,89.6,2526.9,475.0,80.1,bla77,1210.1888888888886,0.9445511915041441,0.0247744998011161,1938.7194444444447,0.7508708580058487,0.12443475071652495,1203.0305555555556,0.940283030236308,0.02674140175304125,0.9222614317376916,-0.11675232817078049,,1.477460408856223,0.5631194713760254,up-regulated,0.9168062050293083,-0.1253112864658454,
H1-3,34337.3,64022.2,30799.3,14947.1,26862.1,13355.2,35134.6,60500.7,31155.3,35749.8,33408.6,68887.4,44133.94999999999,55790.025,26170.43333333333,30057.80833333333,34442.11666666666,18294.325,37386.46666666666,44133.94999999999,24474.033333333336,35382.425,26851.025,55790.025,NP_005311.1,21668.9,18886.0,39071.8,24200.7,22890.4,42975.1,19752.9,17075.1,34316.2,16381.9,14489.2,28217.8,11143.7,9904.0,19468.5,bla81,42031.46944444444,0.8357693414604864,0.07791356413130783,27598.08333333333,0.3151109784124202,0.501536465817186,35331.48333333333,0.7206544064288484,0.1422729535375098,1.0683841357266706,0.09543045888575044,,0.7015066282364588,-0.5114713595686415,down-regulated,0.8980793863254746,-0.15508511629517374,
H1-4,19020.1,42812.7,24513.3,6610.8,14171.0,9324.0,21851.0,38455.2,26327.4,21343.9,26155.4,44514.9,23418.33333333333,35382.425,21164.658333333336,11855.875,19497.6,13277.000000000002,24474.033333333336,30057.80833333333,21504.5,23418.33333333333,21504.5,36380.85833333334,NP_005312.1,10068.2,14169.7,22817.0,14132.8,19575.3,30288.3,10103.1,13803.2,21112.0,8710.9,11799.2,18945.4,4956.9,7181.6,11245.6,bla87,26655.13888888889,0.9480004545543017,0.023191454423138778,14876.824999999999,0.10293761613654984,0.9874258935050237,25345.447222222225,0.7619233873704926,0.11808869547796126,0.9835398003145205,-0.02394466052836186,,0.5489354060696096,-0.8652916994377359,down-regulated,0.9352138889142284,-0.09663173931324735,
H1-2,5663.2,18280.4,11806.4,2481.0,4968.4,4598.4,5706.9,20764.4,12010.8,6005.3,12467.9,19903.2,6279.016666666666,16625.675,9866.258333333331,4194.116666666667,6416.191666666667,6521.483333333334,6121.399999999999,17544.06666666667,9501.875000000002,6320.733333333334,9740.925,16996.416666666668,NP_005310.1,3680.5,7166.9,7253.6,4547.2,8642.4,12196.3,3073.7,5992.0,8816.8,2638.1,4873.5,6488.4,1759.2,3086.4,3708.4,bla96,10923.65,0.9835813179013073,0.00718972882456298,5710.597222222223,0.22975906091236967,0.6387273525135656,11055.780555555555,0.9940946361900063,0.0025722695073942875,0.9913145275397919,-0.012585221806708222,,0.5182331901257611,-0.9483266793375642,down-regulated,1.003305294293956,0.004760668308702907,
