_GENE_SYMBOL_,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Accession,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
PLEC,67453.5,54892.9,113976.1,41878.7,39250.7,72004.0,78459.0,61290.1,131329.0,74054.7,124349.4,57905.7,74435.28333333333,44133.94999999999,86470.35833333332,74435.28333333333,44133.94999999999,86470.35833333332,74435.28333333333,46572.14166666666,86470.35833333332,74435.28333333333,86470.35833333332,44133.94999999999,XP_005251033.1,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,bla1
AHNAK,24332.9,37934.7,21067.5,15718.3,28127.6,14167.7,24418.8,39450.1,21835.2,25771.4,22486.2,42002.5,30057.80833333333,29591.775000000005,17932.100000000002,31577.091666666664,35382.424999999996,19830.691666666666,26851.024999999998,31577.091666666664,17282.24166666667,30057.80833333333,18101.833333333332,33403.38333333333,XP_016873759.1,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,bla3
FLNA,31264.1,45191.5,39870.3,22106.3,32174.6,28072.4,33688.6,46530.0,43499.4,32481.8,42074.6,48838.3,35382.424999999996,37386.46666666666,37386.46666666666,44133.94999999999,37386.46666666666,44133.94999999999,34442.11666666666,37386.46666666666,36380.85833333334,33403.38333333333,37386.46666666666,37386.46666666666,NP_001104026.1,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,bla4
TLN1,18193.2,25173.6,23118.1,12457.9,20406.0,17340.7,20672.8,27516.3,25912.9,19352.6,24082.6,25566.0,21928.45,21164.658333333336,19299.8,25046.8,26851.024999999998,25046.8,22905.833333333332,21832.466666666667,20796.18333333333,21832.466666666667,18784.600000000002,20119.583333333336,NP_006280.3,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,bla5
VIM,75966.0,65937.9,98001.9,47818.9,42664.1,60445.9,78924.3,76800.7,103808.0,84439.1,110019.1,75159.6,86470.35833333332,74435.28333333333,74435.28333333333,86470.35833333332,86470.35833333332,74435.28333333333,86470.35833333332,74435.28333333333,74435.28333333333,86470.35833333332,74435.28333333333,74435.28333333333,NP_003371.2,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,bla6
LMNA,52302.1,50799.0,62699.7,32198.3,33367.3,38208.2,52502.7,55194.3,68047.3,56570.4,66445.9,54005.2,55790.025,41720.208333333336,55790.025,55790.025,40565.85,55790.025,55790.025,41720.208333333336,55790.025,55790.025,55790.025,40565.85,NP_733821.1,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,bla7
AKAP12,10290.7,14268.7,30566.1,6238.1,8023.4,16728.7,11015.1,14327.0,33196.3,11595.0,33603.8,14992.3,11313.575000000003,12918.458333333334,25596.583333333332,10728.275,10456.458333333332,23418.333333333332,11540.308333333334,12521.191666666668,26851.024999999998,11781.433333333334,27784.68333333333,13428.033333333333,NP_005091.2,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,bla8
NES,35084.1,20728.0,31848.4,19284.2,14526.3,19396.5,36987.7,20717.9,33676.9,39044.2,32999.6,21444.2,46572.14166666666,17544.06666666667,27784.68333333333,37386.46666666666,19830.691666666666,30057.80833333333,46572.14166666666,17282.24166666667,27784.68333333333,46572.14166666666,26170.433333333334,17544.06666666667,NP_006608.1,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,bla9
HSPA8,30377.5,59524.1,49172.1,19612.3,41204.4,31493.8,32720.6,67534.6,55504.1,32383.6,54593.5,65676.1,34442.11666666666,46572.14166666666,44133.94999999999,40565.85,74435.28333333333,46572.14166666666,32608.00833333333,55790.025,46572.14166666666,32608.00833333333,44133.94999999999,46572.14166666666,NP_006588.1,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,bla10
PRKDC,11549.2,10528.4,19889.7,10957.3,11998.4,18174.7,12807.2,11691.9,22368.7,11414.0,19681.0,10169.1,12365.441666666668,9462.291666666666,16996.416666666668,20796.18333333333,15694.216666666667,27784.68333333333,13034.833333333334,10321.708333333334,17932.100000000002,11701.933333333334,15884.633333333333,8611.425000000001,NP_008835.5,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11
RRBP1,30229.9,23080.1,43439.1,13591.5,12355.8,20366.8,33185.4,23172.0,47192.3,37062.5,51670.0,26381.0,33403.38333333333,19497.6,40565.85,28816.166666666668,15990.283333333335,32608.00833333333,33403.38333333333,19668.024999999998,40565.85,40565.85,40565.85,20796.18333333333,NP_001352542.1,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,bla12
MYH9,18006.9,20898.2,23741.6,11798.1,16056.8,15371.9,18953.9,22605.4,26016.7,19427.3,25402.4,22284.2,20796.18333333333,17749.308333333334,20119.583333333336,23960.858333333334,21164.658333333336,22388.74166666667,20796.18333333333,18784.600000000002,21164.658333333336,21928.45,20513.425,18294.325,NP_002464.1,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,bla13
XP_006720633.1,17048.4,21019.6,19550.3,13461.3,16835.4,15120.2,18537.3,21064.5,21105.2,16791.8,18958.2,22244.8,19668.024999999998,17932.100000000002,16625.675,27784.68333333333,21928.45,21504.5,19497.6,17749.308333333334,16487.283333333333,18294.325,14902.308333333334,18101.833333333332,XP_006720633.1,20723.8,24030.7,26205.1,22989.7,27398.3,26764.1,17891.0,20677.8,22794.1,19475.0,22736.7,21950.9,15179.2,17181.7,20117.1,bla14
HSP90AA1,12191.6,16905.1,15937.3,7839.3,12818.4,10792.9,12644.6,18401.0,17387.0,13310.9,17617.5,17971.2,12918.458333333334,15366.091666666667,13579.541666666664,13579.541666666664,17282.24166666667,14902.308333333334,12918.458333333334,15990.283333333335,13691.833333333334,13277.000000000002,13841.391666666665,15596.333333333334,NP_001017963.2,11471.8,15297.9,18231.6,12829.7,17410.5,22162.5,9981.6,13709.0,16219.2,9067.2,13086.4,14426.8,7104.2,9894.8,13243.3,bla15
HSP90AB1,20568.1,33843.0,32030.0,12932.5,23820.0,19959.7,22177.2,38389.6,36078.5,21943.7,35543.7,36182.3,24474.033333333336,27784.68333333333,28816.166666666668,26170.433333333334,30723.633333333335,30723.633333333335,25046.8,28816.166666666668,28816.166666666668,23960.858333333334,29591.775000000005,27784.68333333333,NP_001258898.1,19586.8,29230.3,34946.2,18950.9,30537.4,33671.8,19289.0,28650.7,36616.8,17890.2,28775.4,31704.8,13142.2,19430.1,26245.9,bla16
HSPA5,34076.4,32098.6,35732.2,21355.9,21709.6,22358.9,36502.7,32021.5,36792.7,37286.4,38669.3,34448.9,41720.208333333336,26851.024999999998,32608.00833333333,41720.208333333336,27784.68333333333,33403.38333333333,44133.94999999999,25596.583333333332,29591.775000000005,41720.208333333336,33403.38333333333,26851.024999999998,NP_005338.1,30236.0,31310.0,30072.0,31680.7,34089.0,31547.7,31275.5,31945.7,30511.7,29368.5,30395.5,27017.0,22862.8,23739.3,25265.0,bla17
ACTG1,0.0,316.9,357.9,0.0,263.3,286.6,0.0,261.5,316.3,0.0,377.8,334.8,0.0,334.97499999999997,293.8833333333334,0.0,369.4416666666666,349.7166666666667,0.0,276.4,232.9666666666667,0.0,293.8833333333334,338.05833333333334,NP_001186883.1,,358.9,325.0,,524.8,374.1,,279.8,281.5,,291.9,233.5,,237.1,246.8,bla18
ENO1,29931.6,50070.7,38649.3,22230.2,39632.5,27935.3,36284.1,54326.7,43744.8,33984.0,41833.5,54340.1,32608.00833333333,40565.85,36380.85833333334,46572.14166666666,46572.14166666666,41720.208333333336,40565.85,40565.85,37386.46666666666,34442.11666666666,36380.85833333334,41720.208333333336,NP_001419.1,33880.7,42240.0,58214.0,31489.7,40916.6,52972.6,31306.0,37486.1,50818.6,27648.6,34218.6,44784.9,20419.9,25148.9,36594.1,bla19
