Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,127N Sample_avg,p_value_127N Sample,-log10_pvalue127N Sample,127C Sample_avg,p_value_127C Sample,-log10_pvalue127C Sample,128N Sample_avg,p_value_128N Sample,-log10_pvalue128N Sample,128C Sample_avg,p_value_128C Sample,-log10_pvalue128C Sample,129N Sample_avg,p_value_129N Sample,-log10_pvalue129N Sample,129C Sample_avg,p_value_129C Sample,-log10_pvalue129C Sample,130N Sample_avg,p_value_130N Sample,-log10_pvalue130N Sample,130C Sample_avg,p_value_130C Sample,-log10_pvalue130C Sample,fold_change_127N Sample,log2_fc_127N Sample,expression_127N Sample,fold_change_127C Sample,log2_fc_127C Sample,expression_127C Sample,fold_change_128N Sample,log2_fc_128N Sample,expression_128N Sample,fold_change_128C Sample,log2_fc_128C Sample,expression_128C Sample,fold_change_129N Sample,log2_fc_129N Sample,expression_129N Sample,fold_change_129C Sample,log2_fc_129C Sample,expression_129C Sample,fold_change_130N Sample,log2_fc_130N Sample,expression_130N Sample,fold_change_130C Sample,log2_fc_130C Sample,expression_130C Sample
NP_005091.2,11354.237037037035,25936.725925925926,12782.418518518518,10919.125925925924,24248.185185185182,12274.696296296292,10402.129629629628,22165.59259259259,10048.503703703704,11147.651851851851,25280.94444444444,11891.129629629628,10048.503703703704,22736.351851851847,10141.485185185184,15225.14074074074,35542.33333333333,16501.866666666665,22165.59259259259,50870.4,21760.211111111115,20582.581481481488,50870.4,21350.11111111112,20582.581481481488,42465.04074074075,17091.14814814815,15814.0024691358,0.8957757628308306,0.04780069251784227,14205.408641975308,0.7056388494826425,0.15141751680555307,16106.575308641974,0.9329642327982614,0.030135005552642116,14308.780246913579,0.7234055752398726,0.14061814848208287,22423.11358024691,0.519565742227544,0.2843594920332308,31598.734567901236,0.26120891381083144,0.5830120067507042,30934.36419753087,0.2908821387128285,0.5362829452933674,26712.92345679013,0.35053827349663064,0.4552645566961169,0.9474496429795293,-0.07787882891692553,,0.8510754549637631,-0.23264105031304547,,0.9649782877914065,-0.05143161307458339,,0.8572686619260191,-0.22218068928134335,,1.3434151788933766,0.4259052347467156,,1.8931456374433584,0.9207854001252533,up-regulated,1.853341832464695,0.8901289982131764,up-regulated,1.600426573947436,0.6784564889223037,up-regulated
NP_008835.5,11284.896296296294,15225.14074074074,8231.518518518518,11891.129629629628,16267.788888888888,9065.022222222224,19983.77407407407,25936.725925925926,15047.896296296296,12448.87777777778,17091.14814814815,9895.422222222223,22736.351851851847,31427.98888888888,18645.27037037037,15532.4,22736.351851851847,11284.896296296294,15047.896296296296,19983.77407407407,13211.859259259258,16906.51111111111,23214.166666666668,14405.851851851852,19983.77407407407,25280.94444444444,16715.466666666664,12407.980246913581,0.7905064715412895,0.10209457033244641,20322.7987654321,0.09102540574973302,1.040837376503029,13145.14938271605,0.6206708544358698,0.20713864780754898,24269.870370370365,0.05767825951948493,1.2389878532208058,16517.882716049382,0.2884254141808483,0.539966475047528,16081.176543209876,0.1908218041127543,0.7193720024577935,18175.50987654321,0.12173695858171718,0.9145775526542873,20660.061728395056,0.049910038586543845,1.3018120943711728,1.071452908353962,0.0995684432228763,,1.7549126779542485,0.81139924579104,up-regulated,1.1351088780433722,0.1828306854277786,,2.0957498864632167,1.067466551278952,up-regulated,1.426350874499745,0.5123289205152054,up-regulated,1.3886404583261374,0.4736731103810834,,1.5694901612115706,0.6502959850106519,up-regulated,1.7840359820985003,0.8351447131682889,
NP_001157789.1,11692.21111111111,9404.040740740742,8384.655555555555,11692.21111111111,9097.885185185189,8506.751851851852,15930.070370370371,9895.422222222223,9856.933333333336,12084.977777777778,9493.38148148148,9620.437037037038,15225.14074074074,9996.740740740745,9526.155555555551,20582.581481481488,12274.696296296292,13594.8,16906.51111111111,10919.125925925924,10582.070370370371,12521.874074074076,8984.17037037037,8741.981481481482,11284.896296296294,7340.725925925925,7028.177777777777,9765.616049382717,0.966748412987363,0.014686532191433435,11894.141975308643,0.4269382039291634,0.36963498126244754,10399.598765432098,0.680871338027921,0.16693494750517993,11582.67901234568,0.4578664688192465,0.33926116022855557,15484.025925925927,0.14784911158172773,0.8301812807848876,12802.569135802469,0.28604897418410863,0.5435596053427456,10082.675308641976,0.8784807539933681,0.05626774871170013,8551.266666666665,0.4948213472937082,0.3055515725597402,0.9937566623470684,-0.00903546744918897,,1.2103571112251557,0.2754327719476606,,1.0582712351810868,0.08170943794343526,,1.1786623985768567,0.2371505498313064,,1.5756664859680056,0.6559621985260239,up-regulated,1.302799363555446,0.3816149200601275,,1.0260208584463641,0.03706006044910666,,0.8701835274430592,-0.20060838793898456,
NP_004095.4,7590.218518518518,4433.577777777778,8122.807407407409,8446.27777777778,4716.077777777777,8741.981481481482,12597.355555555558,7211.133333333333,11535.962962962964,8705.296296296296,4952.555555555556,8869.937037037036,13979.385185185189,8009.399999999999,13009.448148148149,10191.1,5770.84074074074,8546.207407407408,9493.38148148148,5604.099999999999,9363.34814814815,9825.877777777776,5687.492592592591,9138.94074074074,9951.76296296296,5604.099999999999,8638.14074074074,7301.445679012347,0.7525368051993667,0.12347225466554412,10448.15061728395,0.14522498524275634,0.8379586589831836,7509.262962962962,0.6688711957738116,0.17465750607433594,11666.077777777778,0.09850337918577708,1.0065488706540282,8169.382716049383,0.44830283774828056,0.3484285120498479,8153.60987654321,0.4501356422891387,0.34665659773326907,8217.437037037036,0.43282448265175594,0.3636881814046378,8064.667901234566,0.4788644432293244,0.3197874091102224,1.0872471290538264,0.120679899277699,,1.5558181573844905,0.6376734492892384,up-regulated,1.1181928835353736,0.16116906842993275,,1.7371778314624484,0.7967454474489654,up-regulated,1.2164903081725198,0.28272482631239504,,1.2141415987218136,0.27993668507056507,,1.223646003746978,0.29118625206270254,,1.2008973849649867,0.264112879996956,
NP_005372.2,35542.33333333333,44601.13703703704,80178.53333333334,35542.33333333333,44601.13703703704,80178.53333333334,31427.98888888888,37607.014814814815,50870.4,34595.76666666667,42465.04074074075,80178.53333333334,31427.98888888888,33355.5,50870.4,28751.551851851844,33355.5,50870.4,29596.79259259259,34595.76666666667,42465.04074074075,29596.79259259259,34595.76666666667,50870.4,26756.71481481481,32517.93703703704,42465.04074074075,53440.66790123456,1.0,0.0,39968.467901234566,0.4362577435691167,0.3602568512430997,52413.11358024692,0.960669322738271,0.017426077496743988,38551.29629629629,0.39790728460913644,0.4002181100202578,37659.15061728395,0.3772215362142666,0.4234035206218221,35552.53333333333,0.31851016415979355,0.49687670408819706,38354.31975308642,0.39385040521722403,0.4046687033658878,33913.23086419753,0.2859180500189452,0.5437584267470059,1.0,0.0,,0.7479035998408851,-0.4190757672799746,,0.9807720531695693,-0.028010224472148123,,0.721385001541227,-0.4711586668090559,,0.7046908673911608,-0.5049375776443329,down-regulated,0.6652711264582083,-0.5879856744537942,down-regulated,0.7176991092994999,-0.4785489646331795,,0.6345959396853662,-0.6560898043512041,down-regulated
NP_009057.1,14658.714814814814,11891.129629629628,4407.933333333333,14405.851851851852,12370.644444444442,4215.400000000001,19365.277777777774,14791.448148148149,5166.855555555556,15047.896296296296,12274.696296296292,4464.355555555555,19029.055555555555,14791.448148148149,5022.511111111112,17657.90740740741,14405.851851851852,4683.585185185185,17657.90740740741,14405.851851851852,5166.855555555556,19687.366666666665,15748.6,5166.855555555556,24248.185185185182,18419.466666666664,5365.22962962963,10330.632098765433,0.9980467190636,0.0008491286959703784,13107.86049382716,0.6216739042570834,0.206437362445278,10595.649382716047,0.9529946707209624,0.02090952799016253,12947.671604938272,0.6391665289279351,0.1943859756879698,12249.114814814815,0.7178926506298922,0.14394049270008186,12410.204938271607,0.6884951647491053,0.1620991054145462,13534.274074074076,0.580804753680282,0.23596983774758637,16010.960493827157,0.4352193964995607,0.3612917575998298,1.0011020984375376,0.001589116429799087,,1.2702326944703661,0.34509280912924645,,1.0267839111812982,0.03813259541552471,,1.2547094010958777,0.3273532652564229,,1.1870149307300268,0.247338081866672,,1.2026255593041901,0.26618752545400043,,1.3115548058287276,0.39127809463704755,,1.5515610269662383,0.6337204429639848,up-regulated
NP_001367.2,7424.548148148148,5799.151851851852,8049.97777777778,7694.411111111109,5916.174074074074,8446.27777777778,10859.388888888889,7763.337037037038,12005.422222222223,8384.655555555555,6545.074074074074,9825.877777777776,10919.125925925924,8049.97777777778,12691.822222222225,9446.362962962963,7447.74074074074,10859.388888888889,10092.37037037037,7310.07037037037,11786.6,10582.070370370371,8122.807407407409,13286.466666666667,12370.644444444442,8506.751851851852,13396.937037037038,7352.287654320989,0.8082643351489458,0.09244658412330309,10209.382716049384,0.11672512163203501,0.932835664845483,8251.869135802468,0.3803910307400859,0.41976973186609273,10553.641975308643,0.10777485944416741,0.9674825348638891,9251.164197530865,0.1548813276741274,0.8100009371594166,9729.68024691358,0.1703478802393195,0.7686632662997688,10663.781481481483,0.12396746480010645,0.9066922802555576,11424.777777777776,0.08317836464521117,1.0799896224724377,1.0368147526425022,0.05215815131815887,,1.4397204126191068,0.5257886738268378,up-regulated,1.1636731394543731,0.21868588100430258,,1.488267626155292,0.5736339808879438,up-regulated,1.3045930695436003,0.3835998695516526,,1.3720730870160704,0.45635733243438475,,1.5037994266258092,0.5886121564378058,up-regulated,1.6111146220864485,0.6880591376404804,up-regulated
NP_001888.2,6740.281481481483,5640.081481481482,4323.522222222223,6759.333333333335,5738.666666666667,4298.4,8049.97777777778,6545.074074074074,4781.014814814816,6988.133333333333,5640.081481481482,4348.018518518518,7473.544444444445,6106.618518518518,4670.907407407407,6966.67777777778,5996.092592592594,4114.914814814815,9526.155555555551,7424.548148148148,5858.292592592592,9298.93703703704,7763.337037037038,5687.492592592591,10465.08148148148,8596.366666666665,5938.596296296297,5598.8,0.9768487556683823,0.010172672374687459,6458.688888888891,0.49396664112432065,0.30630237914277253,5658.7444444444445,0.934281798558901,0.029522111884909948,6083.6901234567895,0.6552080542238035,0.18362077259767676,5692.561728395063,0.9146901482981574,0.03872599847348818,7602.998765432098,0.19578697971266854,0.7082161931608686,7583.255555555556,0.19477337401333056,0.7104704124955457,8333.348148148149,0.15853239035320982,0.7998819920296243,1.005538520756648,0.007968350305720247,,1.1599736499536926,0.21409203335896093,,1.0163044791752815,0.023332690287387284,,1.092624270822778,0.1277973755645738,,1.0223780273784167,0.031928735790314904,,1.3654904858018169,0.44941926200920024,,1.361944626322242,0.44566804773008906,,1.496660457569308,0.5817469590431176,up-regulated
NP_004492.2,964.6000000000004,3036.2481481481486,2063.6074074074068,733.9074074074073,2339.22962962963,1704.1148148148147,457.73703703703694,1834.6444444444448,1000.651851851852,913.7370370370372,2894.7000000000003,2107.7666666666664,635.9703703703706,2211.840740740741,1459.148148148148,592.0333333333334,2047.8185185185189,1456.662962962963,553.4740740740742,2001.177777777778,1225.4444444444443,469.7962962962963,1643.1407407407405,1076.6703703703704,323.6666666666666,1152.5777777777778,726.7370370370371,1592.4172839506173,0.6037153272763038,0.21916779802921457,1097.677777777778,0.27801119176073547,0.5559377205492075,1972.0679012345681,0.955408905175857,0.019810715061550212,1435.653086419753,0.48225514557046884,0.31672312982002615,1365.5049382716052,0.42644099986429546,0.37014104704240913,1260.0320987654322,0.36225200532413626,0.440989201719324,1063.2024691358026,0.2533420566251815,0.596292708179836,734.3271604938271,0.1527094900997874,0.816133972963861,0.7877462054240769,-0.3441971950943115,,0.5430056009424681,-0.8809610158075429,down-regulated,0.9755539717467233,-0.035706403890679465,,0.7101971841996135,-0.4937084545359502,,0.6754958919703946,-0.5659810990624734,down-regulated,0.6233199768169473,-0.6819551443832249,down-regulated,0.5259511555799031,-0.9269992704166786,down-regulated,0.3632612130306344,-1.4609207636940384,down-regulated
XP_016884687.1,3142.896296296296,3130.4555555555557,2356.785185185185,3272.337037037036,3135.818518518519,2480.451851851852,4028.1259259259264,3558.555555555555,2552.611111111112,3650.596296296296,3168.859259259259,2449.507407407408,4565.111111111111,4602.651851851851,2673.2740740740737,3824.148148148148,3693.085185185185,2577.6185185185186,3919.722222222223,3773.203703703704,2414.12962962963,4532.170370370371,4375.625925925926,2752.944444444444,5007.603703703704,4565.111111111111,2650.7666666666664,2962.8691358024694,0.8211220702152959,0.08559227469532259,3379.7641975308647,0.3887675977330753,0.4103099389930334,3089.6543209876545,0.6522113091480366,0.18561167492901137,3947.012345679012,0.22931751299646014,0.6395627768998512,3364.95061728395,0.36895960102412123,0.4330211840111437,3369.0185185185187,0.4315238213082885,0.3649952250306092,3886.913580246913,0.21102961770877915,0.6756565878074792,4074.4938271604938,0.23415830849478741,0.6304904278053597,1.0299497411525589,0.042573939390008135,,1.1748704046156946,0.23250162748843622,,1.0740226862197373,0.10302446720697929,,1.3720566644793846,0.45634006451021103,,1.169720921988707,0.22616436528799783,,1.1711350019333628,0.22790739129048154,,1.3511651889996166,0.43420406458366845,,1.4163716554005195,0.502199877744123,up-regulated
