Accession,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,normalized_Abundance R1 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R1 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R1 128C Sample,normalized_Abundance R3 128C Sample,normalized_Abundance R2 128C Sample,normalized_Abundance R1 129N Sample,normalized_Abundance R3 129N Sample,normalized_Abundance R2 129N Sample,normalized_Abundance R1 129C Sample,normalized_Abundance R3 129C Sample,normalized_Abundance R2 129C Sample,normalized_Abundance R1 130N Sample,normalized_Abundance R3 130N Sample,normalized_Abundance R2 130N Sample,normalized_Abundance R1 130C Sample,normalized_Abundance R3 130C Sample,normalized_Abundance R2 130C Sample,127N Sample_avg,p_value_127N Sample,-log10_pvalue127N Sample,127C Sample_avg,p_value_127C Sample,-log10_pvalue127C Sample,128N Sample_avg,p_value_128N Sample,-log10_pvalue128N Sample,128C Sample_avg,p_value_128C Sample,-log10_pvalue128C Sample,129N Sample_avg,p_value_129N Sample,-log10_pvalue129N Sample,129C Sample_avg,p_value_129C Sample,-log10_pvalue129C Sample,130N Sample_avg,p_value_130N Sample,-log10_pvalue130N Sample,130C Sample_avg,p_value_130C Sample,-log10_pvalue130C Sample,fold_change_127N Sample,log2_fc_127N Sample,expression_127N Sample,fold_change_127C Sample,log2_fc_127C Sample,expression_127C Sample,fold_change_128N Sample,log2_fc_128N Sample,expression_128N Sample,fold_change_128C Sample,log2_fc_128C Sample,expression_128C Sample,fold_change_129N Sample,log2_fc_129N Sample,expression_129N Sample,fold_change_129C Sample,log2_fc_129C Sample,expression_129C Sample,fold_change_130N Sample,log2_fc_130N Sample,expression_130N Sample,fold_change_130C Sample,log2_fc_130C Sample,expression_130C Sample
XP_005251033.1,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,42465.04074074075,67286.18148148149,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,80178.53333333334,44601.13703703704,80178.53333333334,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,80178.53333333334,63309.91851851853,1.0,0.0,63309.91851851853,1.0,0.0,64021.950617283954,0.9648593194386241,0.015536004008938188,80178.53333333334,0.266932999710436,0.5735977330456301,68319.40123456791,0.7729379056954021,0.11185539391741499,75881.0827160494,0.3782931394098619,0.42217153484645004,75881.0827160494,0.3782931394098619,0.42217153484645004,75881.0827160494,0.3782931394098619,0.42217153484645004,1.0,0.0,,1.0,0.0,,1.0112467701021783,0.01613509472940718,,1.2664450564705851,0.3407844884386115,,1.0791263491293877,0.1098637921574274,,1.198565477443376,0.26130872534292865,,1.198565477443376,0.26130872534292865,,1.198565477443376,0.26130872534292865,
XP_016873759.1,28113.70740740741,17305.181481481482,31427.98888888888,28113.70740740741,17091.14814814815,27558.16666666667,29596.79259259259,19029.055555555555,33355.5,25280.94444444444,16501.866666666665,29596.79259259259,25280.94444444444,16050.625925925924,29596.79259259259,25280.94444444444,15748.6,28113.70740740741,26756.71481481481,17091.14814814815,29596.79259259259,20302.09259259259,13846.91111111111,24248.185185185182,22736.351851851847,15047.896296296296,27558.16666666667,24254.340740740747,0.8193131941034307,0.08655005126757262,27327.116049382716,0.7912154741953665,0.10170522761418534,23793.2012345679,0.7671642489129933,0.11511164418669334,23642.787654320982,0.7526872473932946,0.12338544205479249,23047.75061728395,0.6745802960158744,0.17096634837740235,24481.551851851847,0.8521674483125556,0.06947505930270724,19465.72962962963,0.3114521657918903,0.5066086447603121,21780.804938271605,0.5325250202267228,0.2736599824598736,0.9468572351453882,-0.07878117888168651,,1.066814300318329,0.09330906901540598,,0.9288549615524513,-0.10647475402196746,,0.9229830152380464,-0.11562399529074394,,0.8997535599533021,-0.1523981895775214,,0.9557272550218551,-0.06532913355240434,,0.7599162201196926,-0.39608772301590794,,0.8502936840683232,-0.23396687320175874,
NP_001104026.1,31427.98888888888,35542.33333333333,35542.33333333333,33355.5,35542.33333333333,35542.33333333333,42465.04074074075,42465.04074074075,35542.33333333333,32517.93703703704,34595.76666666667,35542.33333333333,42465.04074074075,37607.014814814815,37607.014814814815,44601.13703703704,44601.13703703704,42465.04074074075,37607.014814814815,37607.014814814815,37607.014814814815,35542.33333333333,31427.98888888888,32517.93703703704,34595.76666666667,30650.218518518515,31427.98888888888,34813.38888888888,0.7065081050121378,0.15088285159057227,40157.47160493828,0.10495662763256328,0.9789901320852028,34218.67901234568,0.9783179532920558,0.009519976583621942,39226.35679012346,0.07754662819951928,1.110437080973241,43889.10493827161,0.008078239583542118,2.092683270716992,37607.014814814815,0.129150735269509,0.8889031169968081,33162.753086419754,0.6137200865618133,0.21202966237649162,32224.658024691355,0.3476209925312637,0.4588940047630679,1.0188026649067394,0.026874638421947032,,1.175195532316751,0.2329008163942373,,1.0013986710294887,0.002016445914335039,,1.1479467557700285,0.1990557282784659,,1.2844005854814604,0.36109522781491193,,1.100557232012221,0.13823417130242197,,0.9704973373296604,-0.04320384014168885,,0.9430442860948298,-0.08460257231236215,
NP_006280.3,20876.38148148148,17959.62222222222,19365.277777777774,21062.459259259256,18419.466666666664,20302.09259259259,23792.01851851852,23792.01851851852,25280.94444444444,21760.211111111115,19983.77407407407,20876.38148148148,23792.01851851852,24771.4074074074,25936.725925925926,23214.166666666668,21062.459259259256,24248.185185185182,20876.38148148148,23792.01851851852,24248.185185185182,25936.725925925926,24771.4074074074,25936.725925925926,25280.94444444444,27558.16666666667,28751.551851851844,19928.006172839505,0.6707748474052107,0.17342323085713587,24288.327160493824,0.012779862255578641,1.8934738270825087,20873.455555555556,0.22388901882955106,0.6499672069063824,24833.38395061728,0.008214589662674326,2.085414125678355,22841.603703703702,0.05314423494276818,1.2745438406108722,22972.19506172839,0.06026499559711465,1.2199348708316522,25548.286419753087,0.008510166318547842,2.070061952192529,27196.887654320988,0.004596548228268562,2.3375681787842963,1.0271941956731767,0.03870895541438161,,1.251948060708349,0.32417471074271514,,1.0759276268958318,0.10558103716025624,,1.2800431529253589,0.3561924473049666,,1.1773763286108123,0.23557552737932405,,1.184107693695939,0.24380029895292546,,1.3168929842832788,0.39713811148900463,,1.4018705582784041,0.4873531442478857,
NP_003371.2,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,67286.18148148149,80178.53333333334,67286.18148148149,80178.53333333334,80178.53333333334,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,42465.04074074075,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,67286.18148148149,44601.13703703704,67286.18148148149,67286.18148148149,44601.13703703704,80178.53333333334,67286.18148148149,50870.4,71583.63209876545,1.0,0.0,75881.0827160494,0.5185185185185187,0.28523572848074913,71583.63209876545,1.0,0.0,59012.46790123457,0.27013784853489764,0.5684145633197975,67286.18148148149,0.4226497308103734,0.3740194032945212,59724.5,0.2614896342866106,0.5825455223276906,59724.5,0.2614896342866106,0.5825455223276906,66111.7049382716,0.6057200875207817,0.21772802357167687,1.0,0.0,,1.060033983905073,0.08411051726526989,,1.0,0.0,,0.8243849350898237,-0.27860995375326336,,0.9399660160949269,-0.0893194969243263,,0.8343317913457765,-0.2613068760391268,,0.8343317913457765,-0.2613068760391268,,0.9235589617338206,-0.11472402638607965,
NP_733821.1,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,37607.014814814815,50870.4,50870.4,39181.1962962963,50870.4,50870.4,34595.76666666667,50870.4,50870.4,39181.1962962963,50870.4,44601.13703703704,33355.5,50870.4,44601.13703703704,34595.76666666667,50870.4,50870.4,35542.33333333333,46973.9987654321,0.933393326562175,0.029935308494341988,46449.27160493828,1.0,0.0,46973.9987654321,0.933393326562175,0.029935308494341988,45445.52222222223,0.8931552863524752,0.049073026953552444,46973.9987654321,0.933393326562175,0.029935308494341988,42942.34567901235,0.6322145165921815,0.1991355363301945,43355.76790123457,0.6581687014388187,0.181662773994856,45761.044444444444,0.9238660542429478,0.03439098994867548,1.0112967790960588,0.016206438288377194,,1.0,0.0,,1.0112967790960588,0.016206438288377194,,0.9783904171576,-0.031517821425694106,,1.0112967790960588,0.016206438288377194,,0.9244998725544474,-0.11325497413845292,,0.9334003828948133,-0.09943203577007657,,0.9851832518204512,-0.021535992751828235,
NP_005091.2,11354.237037037035,25936.725925925926,12782.418518518518,10919.125925925924,24248.185185185182,12274.696296296292,10402.129629629628,22165.59259259259,10048.503703703704,11147.651851851851,25280.94444444444,11891.129629629628,10048.503703703704,22736.351851851847,10141.485185185184,15225.14074074074,35542.33333333333,16501.866666666665,22165.59259259259,50870.4,21760.211111111115,20582.581481481488,50870.4,21350.11111111112,20582.581481481488,42465.04074074075,17091.14814814815,15814.0024691358,0.8957757628308306,0.04780069251784227,14205.408641975308,0.7056388494826425,0.15141751680555307,16106.575308641974,0.9329642327982614,0.030135005552642116,14308.780246913579,0.7234055752398726,0.14061814848208287,22423.11358024691,0.519565742227544,0.2843594920332308,31598.734567901236,0.26120891381083144,0.5830120067507042,30934.36419753087,0.2908821387128285,0.5362829452933674,26712.92345679013,0.35053827349663064,0.4552645566961169,0.9474496429795293,-0.07787882891692553,,0.8510754549637631,-0.23264105031304547,,0.9649782877914065,-0.05143161307458339,,0.8572686619260191,-0.22218068928134335,,1.3434151788933766,0.4259052347467156,,1.8931456374433584,0.9207854001252533,up-regulated,1.853341832464695,0.8901289982131764,up-regulated,1.600426573947436,0.6784564889223037,up-regulated
NP_006608.1,44601.13703703704,24771.4074074074,16715.466666666664,44601.13703703704,25936.725925925926,16715.466666666664,35542.33333333333,28113.70740740741,19029.055555555555,44601.13703703704,25936.725925925926,16501.866666666665,37607.014814814815,25280.94444444444,17959.62222222222,42465.04074074075,28751.551851851844,17657.90740740741,35542.33333333333,25280.94444444444,17495.17037037037,42465.04074074075,26756.71481481481,17959.62222222222,42465.04074074075,29596.79259259259,21062.459259259256,29084.443209876543,0.9750181369285782,0.010987305640192046,27561.6987654321,0.9126473545056271,0.03969700075409943,29013.243209876546,0.9796617049668764,0.008923868215913325,26949.19382716049,0.8717669893393217,0.059599580167160174,29624.833333333332,0.9366145216750119,0.028439113013009283,26106.149382716045,0.8068328262378603,0.09321644069731078,29060.459259259263,0.9750867981743917,0.010956723490838986,31041.430864197533,0.8328251018578384,0.07944619339899399,1.0135363624211795,0.019397848986018842,,0.9604716757781433,-0.058185025314030005,,1.0110551806951398,0.015861737837139577,,0.9391270681945948,-0.09060772055296101,,1.0323679087590079,0.04595720094803222,,0.9097486065401716,-0.13646015859137267,,1.0127005683201986,0.018207666283510546,,1.0817335816063864,0.11334522391228707,
NP_006588.1,30650.218518518515,42465.04074074075,44601.13703703704,32517.93703703704,42465.04074074075,44601.13703703704,37607.014814814815,44601.13703703704,67286.18148148149,30650.218518518515,44601.13703703704,50870.4,33355.5,44601.13703703704,67286.18148148149,31427.98888888888,42465.04074074075,80178.53333333334,39181.1962962963,42465.04074074075,80178.53333333334,37607.014814814815,42465.04074074075,80178.53333333334,37607.014814814815,44601.13703703704,67286.18148148149,39861.37160493828,0.91864054664864,0.03685438975072745,49831.444444444445,0.36796677508907943,0.4341913934104316,42040.585185185184,0.7254104987626615,0.13941616322801947,48414.27283950618,0.4665373672794954,0.331113565736635,51357.18765432099,0.502674199172493,0.29871340529226337,53941.590123456794,0.3823946521046592,0.4174881900823315,53416.862962962965,0.40568763128063556,0.3918082329869575,49831.444444444445,0.36796677508907943,0.4341913934104316,1.0158662563354166,0.02271047689101302,,1.2699533628013113,0.34477551708350884,,1.071403470745933,0.09950187469999722,,1.2338367728564952,0.30315154961995033,,1.3088368979216745,0.3882853255333933,,1.3747003430435616,0.45911717447771694,,1.3613276818764697,0.44501437625921425,,1.2699533628013113,0.34477551708350884,
NP_008835.5,11284.896296296294,15225.14074074074,8231.518518518518,11891.129629629628,16267.788888888888,9065.022222222224,19983.77407407407,25936.725925925926,15047.896296296296,12448.87777777778,17091.14814814815,9895.422222222223,22736.351851851847,31427.98888888888,18645.27037037037,15532.4,22736.351851851847,11284.896296296294,15047.896296296296,19983.77407407407,13211.859259259258,16906.51111111111,23214.166666666668,14405.851851851852,19983.77407407407,25280.94444444444,16715.466666666664,12407.980246913581,0.7905064715412895,0.10209457033244641,20322.7987654321,0.09102540574973302,1.040837376503029,13145.14938271605,0.6206708544358698,0.20713864780754898,24269.870370370365,0.05767825951948493,1.2389878532208058,16517.882716049382,0.2884254141808483,0.539966475047528,16081.176543209876,0.1908218041127543,0.7193720024577935,18175.50987654321,0.12173695858171718,0.9145775526542873,20660.061728395056,0.049910038586543845,1.3018120943711728,1.071452908353962,0.0995684432228763,,1.7549126779542485,0.81139924579104,up-regulated,1.1351088780433722,0.1828306854277786,,2.0957498864632167,1.067466551278952,up-regulated,1.426350874499745,0.5123289205152054,up-regulated,1.3886404583261374,0.4736731103810834,,1.5694901612115706,0.6502959850106519,up-regulated,1.7840359820985003,0.8351447131682889,
