Accession,normalized_Abundance R1 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control
XP_005251033.1,68545.71686717645,68545.71686717645,68545.71686717645,58483.447779030736,58483.447779030736,60573.96190593688,78203.85367644455,78203.85367644455,78203.85367644455,68545.71686717645,94782.83347264938,41761.7712729675
XP_016873759.1,31028.185178252475,27723.299191020436,20747.606724776986,32240.97292582978,27687.487058498475,29248.64364434703,24845.32158824031,23369.23854776938,22863.052419152318,27723.299191020436,18652.355079251272,35397.57478435909
NP_001104026.1,43405.033433390134,36499.629859032546,35757.67819620826,37699.113571525675,37699.113571525675,37699.113571525675,42502.884441280985,36495.439103487966,35600.12202076393,34938.06414347981,37699.113571525675,36495.439103487966
NP_006280.3,25759.842346380217,20420.211586246238,22093.810159565113,25938.837346066066,21359.408502615373,21897.217779229624,25309.307680346094,20397.173049440946,21676.177119873508,20255.85686046919,19442.664750466338,21097.866646362043
NP_003371.2,79550.58468888457,79550.58468888457,79550.58468888457,86405.14406876573,77039.44380191085,77039.44380191085,79202.74562102502,79202.74562102502,79202.74562102502,79550.58468888457,77039.44380191085,79202.74562102502
NP_733821.1,50923.9763873064,50923.9763873064,50923.9763873064,46930.94075179941,47918.66166903058,47918.66166903058,54278.26922403769,54278.26922403769,54278.26922403769,50923.9763873064,59957.42972049438,41265.39738620423
NP_005091.2,15920.967474492561,16404.453751223722,16614.340597063536,12164.544058316864,14128.539390239357,13785.647212009819,17832.336891614035,19699.979816497707,20775.544652227887,16797.591148928375,26152.020875732753,9231.99091118644
NP_006608.1,27640.60857299227,31348.501430101827,31348.501430101827,29341.53328420126,27536.462370287005,27356.166170617344,33167.87558930572,31431.50595826032,31431.50595826032,31348.501430101827,34278.14510808059,23584.954877015243
NP_006588.1,48789.19662882069,44775.53800200155,43573.414340846444,58194.053532602484,40661.80371806414,46461.94769660938,46100.55864095983,43779.7290254326,46100.55864095983,43573.414340846444,39127.62692252838,46100.55864095983
NP_008835.5,22802.799812371715,12455.880779528705,13249.919629132624,17600.103300487033,11901.054729726937,12687.707284129794,23550.842679262805,14528.440502074021,15349.220143943714,11591.092033338151,17800.983342703028,7577.001602973637
NP_001352542.1,21333.80336111365,29403.494559161,29403.494559161,23542.578992068848,26536.02057311442,26680.94887412663,29867.618803415393,36917.92799154293,36917.92799154293,42003.48675841929,44452.322041797815,19402.844331352157
NP_002464.1,22962.969625445716,19453.41822451481,19453.41822451481,22035.830649718595,18999.076874044284,19919.605041779403,22285.37130202414,20326.313727439978,21228.569892064254,20709.07577741594,21456.787423154707,18750.49325208478
XP_006720633.1,24979.48936430457,17748.984794088257,17597.166312790538,22558.192694895122,19013.029115561567,18850.874559711265,22126.642062392428,17800.4286437638,17693.59865792269,16525.261468527617,16304.001993670636,19122.246455350436
NP_001017963.2,14691.057363205677,14221.32603171967,14221.32603171967,15591.809024355653,14335.501894362991,14743.78029660684,14845.054915815193,13672.252446022749,13771.258509269432,14449.68059912135,13343.363745045881,15437.46098906048
NP_001258898.1,28111.815060828045,27464.685646747756,27683.180198389302,28802.684175653492,26885.402207177613,27558.31069346809,29223.695259707165,27620.533895398865,27620.533895398865,27268.92365837788,28064.294079405117,26753.606961982146
NP_005338.1,33755.04700858302,33755.04700858302,34699.55232018128,33056.293541243314,32352.295085175585,31406.41909924887,35672.436411106566,35090.903240533575,32885.60418848735,33755.04700858302,37292.914137758205,30881.722953537894
NP_001186883.1,197.07914432601385,197.07914432601385,197.07914432601385,239.83208188752556,223.8360194614995,196.45663988381452,243.7999003946987,208.28976239699242,169.54181086314242,197.07914432601385,205.37722015170104,234.96469025522174
NP_001419.1,46097.62509278424,34759.14832262913,41220.68809199583,44262.871759493355,39363.72430804282,39363.72430804282,41870.389949383454,36977.11481305436,37898.709811394096,36248.39181773429,35950.15527144787,41870.389949383454
NP_001092.1,37106.46416315029,33992.0311631044,32716.877097800454,37980.78718218591,34112.05888210251,34112.05888210251,36300.06590305737,32536.791487220813,33518.20167904288,31403.166914058565,30013.0081629252,33518.20167904288
NP_001157789.1,12580.2632917193,10322.698474069222,10556.632572146313,11358.41727610686,10033.386678002298,11141.539280612451,11403.79696710504,10746.98896416985,11075.445923347821,10322.698474069222,10920.903110466876,10165.897247644381
NP_003118.2,15342.680382232911,14074.315818518873,13200.789412838667,13880.813126327139,13133.565315682441,13133.565315682441,15619.744699004821,15199.311421394306,14632.170605605406,15134.855446771277,17639.627540765356,12683.570435452873
XP_005264575.1,14255.390639411065,13035.579703929587,14474.264896331764,12750.759211508428,11750.605862445236,11946.005067253664,15429.782933945655,16106.13910212073,16106.13910212073,14255.390639411065,19372.19244374961,8955.571137574747
