,x,y,samples
normalized_Abundance R1 126 control,34380.90334870846,68607.7670777895,
normalized_Abundance R2 126 control,226909.4931924857,93546.097690917,
normalized_Abundance R3 126 control,127263.36573560988,-166192.24950465965,
normalized_Abundance R1 127N Sample,-10534.485007597932,59426.67127159207,
normalized_Abundance R3 127N Sample,157975.41134357947,79855.59244163444,
normalized_Abundance R2 127N Sample,81399.52316051639,-152625.87392824472,
normalized_Abundance R1 127C Sample,-214695.52703477794,29838.141746528654,
normalized_Abundance R3 127C Sample,-147543.87947331657,36621.38416741065,
normalized_Abundance R2 127C Sample,-146308.15048218003,-61027.43394609236,
normalized_Abundance R1 128N Sample,33629.28774760108,66301.99739456408,
normalized_Abundance R3 128N Sample,225553.05925784222,93510.99641394535,
normalized_Abundance R2 128N Sample,108763.36665445357,-153302.07094150392,
normalized_Abundance R1 128C Sample,-48569.20557986789,51823.56629650249,
normalized_Abundance R3 128C Sample,96315.43655461067,69011.40767212077,
normalized_Abundance R2 128C Sample,87320.12611443014,-144435.06521236539,
normalized_Abundance R1 129N Sample,-3098.952591910129,61821.38243891536,
normalized_Abundance R3 129N Sample,243302.1447982907,102845.56683472781,
normalized_Abundance R2 129N Sample,96587.33420143115,-146390.18476285608,
normalized_Abundance R1 129C Sample,-134650.06782351836,38762.059663801134,
normalized_Abundance R3 129C Sample,-38728.94794992854,50423.4190923962,
normalized_Abundance R2 129C Sample,-36736.112163056656,-100439.96209345471,
normalized_Abundance R1 130N Sample,-129372.75477109553,42836.99498797315,
normalized_Abundance R3 130N Sample,-2099.0921539339556,61623.65617370257,
normalized_Abundance R2 130N Sample,-62768.647636156515,-89266.16766518622,
normalized_Abundance R1 130C Sample,-229779.9406834745,29630.88891780841,
normalized_Abundance R3 130C Sample,-169745.28979670364,36829.279022329814,
normalized_Abundance R2 130C Sample,-144768.39896204136,-59637.86125029724,
