Accession,Abundance R1 127C Sample,Abundance R2 127C Sample,Abundance R3 127C Sample,Abundance R1 127N Sample,Abundance R2 127N Sample,Abundance R3 127N Sample,Abundance R1 128N Sample,Abundance R2 128N Sample,Abundance R3 128N Sample,Abundance R1 126 control,Abundance R2 126 control,Abundance R3 126 control,normalized_Abundance R1 127C Sample,normalized_Abundance R2 127C Sample,normalized_Abundance R3 127C Sample,normalized_Abundance R1 127N Sample,normalized_Abundance R2 127N Sample,normalized_Abundance R3 127N Sample,normalized_Abundance R1 128N Sample,normalized_Abundance R2 128N Sample,normalized_Abundance R3 128N Sample,normalized_Abundance R1 126 control,normalized_Abundance R2 126 control,normalized_Abundance R3 126 control,Abundance R1 128C Sample,Abundance R3 128C Sample,Abundance R2 128C Sample,Abundance R1 129N Sample,Abundance R3 129N Sample,Abundance R2 129N Sample,Abundance R1 129C Sample,Abundance R3 129C Sample,Abundance R2 129C Sample,Abundance R1 130N Sample,Abundance R3 130N Sample,Abundance R2 130N Sample,Abundance R1 130C Sample,Abundance R3 130C Sample,Abundance R2 130C Sample,BL
XP_005251033.1,41878.7,39250.7,72004.0,67453.5,54892.9,113976.1,78459.0,61290.1,131329.0,74054.7,124349.4,57905.7,68545.71686717645,58483.447779030736,78203.85367644455,68545.71686717645,58483.447779030736,78203.85367644455,68545.71686717645,60573.96190593688,78203.85367644455,68545.71686717645,94782.83347264938,41761.7712729675,67285.8,115226.1,61010.8,79749.2,145103.4,66227.6,58250.4,97293.9,52230.8,58241.0,102773.1,51282.0,42025.2,73980.7,42993.2,bla1
XP_016873759.1,15718.3,28127.6,14167.7,24332.9,37934.7,21067.5,24418.8,39450.1,21835.2,25771.4,22486.2,42002.5,31028.185178252475,32240.97292582978,24845.32158824031,27723.29919102044,27687.487058498475,23369.23854776938,20747.606724776982,29248.64364434703,22863.05241915232,27723.29919102044,18652.355079251272,35397.57478435909,20761.3,18153.7,35638.3,23772.4,20307.8,34908.9,18364.0,16798.0,33300.1,15954.8,14435.7,24525.7,12763.0,11624.8,23813.4,bla3
NP_001104026.1,22106.3,32174.6,28072.4,31264.1,45191.5,39870.3,33688.6,46530.0,43499.4,32481.8,42074.6,48838.3,43405.03343339013,37699.11357152568,42502.884441280985,36499.62985903255,37699.11357152568,36495.439103487966,35757.67819620826,37699.11357152568,35600.12202076393,34938.06414347981,37699.11357152568,36495.439103487966,31620.3,40721.9,46773.6,45705.4,57595.2,64404.2,27448.6,35747.3,42213.5,24198.6,30764.6,33317.0,17074.4,21740.1,25631.2,bla4
NP_006280.3,12457.9,20406.0,17340.7,18193.2,25173.6,23118.1,20672.8,27516.3,25912.9,19352.6,24082.6,25566.0,25759.842346380217,25938.837346066062,25309.307680346094,20420.21158624624,21359.408502615373,20397.173049440946,22093.810159565117,21897.217779229624,21676.177119873508,20255.85686046919,19442.664750466334,21097.866646362043,19863.4,27546.4,30793.3,21110.2,28411.0,30793.7,16225.0,22416.3,25328.2,18889.1,25562.6,26745.3,13744.2,20070.5,24909.1,bla5
NP_003371.2,47818.9,42664.1,60445.9,75966.0,65937.9,98001.9,78924.3,76800.7,103808.0,84439.1,110019.1,75159.6,79550.58468888457,86405.14406876573,79202.74562102502,79550.58468888457,77039.44380191085,79202.74562102502,79550.58468888457,77039.44380191085,79202.74562102502,79550.58468888457,77039.44380191085,79202.74562102502,63406.0,81213.9,57509.5,76716.7,100744.7,67732.1,50837.3,65992.7,50608.6,49388.8,66611.3,47914.6,42527.0,54166.8,38337.0,bla6
NP_733821.1,32198.3,33367.3,38208.2,52302.1,50799.0,62699.7,52502.7,55194.3,68047.3,56570.4,66445.9,54005.2,50923.9763873064,46930.94075179941,54278.26922403769,50923.9763873064,47918.66166903058,54278.26922403769,50923.9763873064,47918.66166903058,54278.26922403769,50923.9763873064,59957.42972049438,41265.39738620423,42372.0,51353.0,44996.3,53349.2,70963.0,57735.1,35907.8,44257.7,38114.9,34658.2,44355.8,35273.2,27377.0,32440.1,30410.7,bla7
NP_005091.2,6238.1,8023.4,16728.7,10290.7,14268.7,30566.1,11015.1,14327.0,33196.3,11595.0,33603.8,14992.3,15920.96747449256,12164.544058316864,17832.336891614035,16404.453751223722,14128.539390239355,19699.979816497707,16614.340597063536,13785.64721200982,20775.544652227887,16797.591148928375,26152.020875732756,9231.99091118644,8885.1,24931.2,11888.1,15187.5,43930.8,20495.1,16958.8,45215.4,21455.3,16283.4,46921.1,21657.0,11917.9,29221.7,14595.0,bla8
NP_006608.1,19284.2,14526.3,19396.5,35084.1,20728.0,31848.4,36987.7,20717.9,33676.9,39044.2,32999.6,21444.2,27640.60857299227,29341.53328420126,33167.87558930572,31348.501430101827,27536.462370287005,31431.50595826032,31348.501430101827,27356.166170617344,31431.50595826032,31348.501430101827,34278.14510808059,23584.954877015243,29911.0,27619.0,20337.3,36512.1,35428.2,22382.4,26169.8,24274.0,18125.2,28882.0,27529.9,18450.5,21839.5,21645.1,18273.1,bla9
NP_006588.1,19612.3,41204.4,31493.8,30377.5,59524.1,49172.1,32720.6,67534.6,55504.1,32383.6,54593.5,65676.1,48789.19662882069,58194.05353260248,46100.55864095983,44775.53800200155,40661.80371806414,43779.7290254326,43573.41434084645,46461.94769660938,46100.55864095983,43573.41434084645,39127.62692252838,46100.55864095983,28791.5,46223.9,60344.8,28981.9,56659.5,71184.8,28380.2,43736.3,57084.9,26705.3,44345.9,54471.8,19283.1,30250.1,40810.4,bla10
NP_008835.5,10957.3,11998.4,18174.7,11549.2,10528.4,19889.7,12807.2,11691.9,22368.7,11414.0,19681.0,10169.1,22802.799812371715,17600.103300487033,23550.842679262805,12455.880779528705,11901.054729726937,14528.44050207402,13249.919629132624,12687.707284129794,15349.220143943714,11591.092033338153,17800.983342703028,7577.001602973637,19224.8,31914.1,21189.3,15390.3,30081.1,14304.3,11477.1,19000.3,13571.4,12967.5,23396.0,14203.7,11752.0,19237.1,14075.8,bla11
NP_001352542.1,13591.5,12355.8,20366.8,30229.9,23080.1,43439.1,33185.4,23172.0,47192.3,37062.5,51670.0,26381.0,21333.80336111365,23542.578992068848,29867.618803415397,29403.494559161,26536.02057311442,36917.92799154293,29403.494559161,26680.94887412663,36917.92799154293,42003.48675841929,44452.322041797815,19402.84433135216,20821.3,31354.8,17887.7,27936.1,42007.4,21109.8,21325.0,31446.0,17520.1,23802.7,36206.4,18163.7,15962.2,25356.1,15251.8,bla12
NP_002464.1,11798.1,16056.8,15371.9,18006.9,20898.2,23741.6,18953.9,22605.4,26016.7,19427.3,25402.4,22284.2,22962.96962544572,22035.830649718595,22285.37130202414,19453.41822451481,18999.076874044284,20326.313727439978,19453.41822451481,19919.605041779403,21228.569892064254,20709.07577741594,21456.787423154707,18750.49325208478,17417.6,22669.0,22470.5,20315.9,28743.7,24522.8,14633.9,20409.0,20264.4,13692.9,19239.6,17655.7,10748.6,14191.3,15703.4,bla13
XP_006720633.1,13461.3,16835.4,15120.2,17048.4,21019.6,19550.3,18537.3,21064.5,21105.2,16791.8,18958.2,22244.8,24979.48936430457,22558.19269489512,22126.642062392428,17748.984794088257,19013.029115561567,17800.4286437638,17597.166312790538,18850.874559711265,17693.59865792269,16525.261468527617,16304.001993670636,19122.24645535044,20723.8,24030.7,26205.1,22989.7,27398.3,26764.1,17891.0,20677.8,22794.1,19475.0,22736.7,21950.9,15179.2,17181.7,20117.1,bla14
NP_001017963.2,7839.3,12818.4,10792.9,12191.6,16905.1,15937.3,12644.6,18401.0,17387.0,13310.9,17617.5,17971.2,14691.057363205677,15591.809024355653,14845.054915815192,14221.32603171967,14335.501894362991,13672.252446022749,14221.32603171967,14743.78029660684,13771.258509269432,14449.68059912135,13343.36374504588,15437.46098906048,11471.8,15297.9,18231.6,12829.7,17410.5,22162.5,9981.6,13709.0,16219.2,9067.2,13086.4,14426.8,7104.2,9894.8,13243.3,bla15
